Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,HNCO_NH3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.16271226817356027,1.0306766400774294e-05,0.07346519480328863,0.2361877697432497
2.854382,0.1719812726374526,1.0745352205062559e-05,0.0785482168912541,0.25054023488091176
2.8566830000000003,0.18042353747250395,1.118393800935083e-05,0.08375803996236071,0.264192761372874
2.858985,0.1904925655372783,1.1622523813639094e-05,0.08888948604782496,0.2793936741089169
2.861286,0.19937685919856074,1.2061109617927366e-05,0.09483864870960892,0.2942275690177876
2.863588,0.20917581250796752,1.2499695422215636e-05,0.09980984630850502,0.3089981585118948
2.8658900000000003,0.2192059808957106,1.29382812265039e-05,0.10475009248631942,0.3239690116632565
2.868191,0.2298127297414057,1.3376867030792167e-05,0.1096908378806029,0.3395169444890393
2.870493,0.2404384226796535,1.3815452835080435e-05,0.11488418680823052,0.3553364249407191
2.872795,0.2512112966446574,1.4254038639368704e-05,0.11922986617139487,0.3704554168546916
2.875096,0.2623722816340115,1.4692624443656974e-05,0.12422552537727488,0.38661249963573
2.877398,0.2733962862618303,1.5131210247945237e-05,0.12860265537798998,0.4020140728500682
2.879699,0.2854811600726037,1.5569796052233507e-05,0.13310758479478435,0.4186043146634402
2.882001,0.2972843012249001,1.5993762329712164e-05,0.13740783545926424,0.434708130446494
2.884303,0.30944640864377315,1.6432348134000436e-05,0.14143052176694698,0.4508933627588542
2.886604,0.3212291484656281,1.6856314411479093e-05,0.1456084643965073,0.4668544691765469
2.888906,0.33382454128340033,1.7294900215767362e-05,0.14993766961619268,0.4837795057998088
2.891208,0.3468906219392142,1.771886649324602e-05,0.15391143270990754,0.500819773515615
2.893509,0.3584091159572563,1.8157452297534287e-05,0.15782329296145908,0.5162505663710129
2.895811,0.371569917075834,1.858141857501295e-05,0.16175262578942765,0.5333411242838367
2.898112,0.3846369692235737,1.9020004379301213e-05,0.16641930134219735,0.5510752905701504
2.900414,0.3974135452855043,1.9443970656779874e-05,0.17037958559124766,0.5678125748474088
2.902716,0.40999485147035264,1.9867936934258525e-05,0.17503777446404334,0.5850524938713302
2.905017,0.4233183774864989,2.0291903211737196e-05,0.17915081895262586,0.6024894883423364
2.907319,0.4356140650451672,2.0730489016025454e-05,0.1835708815696801,0.6192056771038633
2.909621,0.44891038928739146,2.124217245436177e-05,0.18803387680307346,0.6369655082629193
2.911922,0.4621814547395455,2.365439437794724e-05,0.19282086352488653,0.6550259726588099
2.9142240000000004,0.4754889511389164,2.6285909203676848e-05,0.1977081927569806,0.6732234298051006
2.916525,0.4893856573912744,2.8917424029406457e-05,0.2030183583383682,0.692432933153672
2.918827,0.5032386465069724,3.153431932832645e-05,0.20813083419800815,0.7114010150243089
2.921129,0.5173927981196627,3.410735604681763e-05,0.2130820631381419,0.7305089686138514
2.92343,0.5338012967461317,3.670963181892801e-05,0.2182554434070072,0.7520934497849578
2.925732,0.548542229481995,3.9443483332324876e-05,0.2237942501312241,0.7723759230965515
2.928034,0.5651314256066597,4.207499815805449e-05,0.22972843629893624,0.794901936903754
2.930335,0.5794808470964325,4.453107866206879e-05,0.2343406972565785,0.8138660754316731
2.932637,0.5925746152721312,4.837601421299594e-05,0.2415354050086663,0.8341583962950105
2.9349380000000003,0.6050801450867684,5.624131963656554e-05,0.2472519327958685,0.8523883192022734
2.93724,0.6171446175671005,6.359494162179883e-05,0.2530797858556709,0.8702879983643932
2.939542,0.6275240373021623,7.127019319684352e-05,0.25924910298031023,0.8868444104756694
2.941843,0.6365943716672322,7.893082524507859e-05,0.2654328973825522,0.9021061998750296
2.944145,0.6475834025857227,8.657683776650407e-05,0.27131067208926063,0.9189806515127498
2.946447,0.6569218687223085,9.391584022492772e-05,0.27703818263878216,0.9340539672013156
2.948748,0.6668272003975885,0.00010186886280935502,0.2833707435488039,0.9502998128092016
2.95105,0.6769040003977691,0.00011642991151172551,0.2892664900483985,0.9662869203576794
2.953351,0.6845860728008956,0.00013169269750095726,0.2950828611294126,0.9798006266278092
2.955653,0.6938958799256707,0.0001443970662985074,0.29907559444895176,0.9931158714409208
2.957955,0.6997175452909233,0.00015270095752636524,0.3057521155061557,1.0056223617546054
2.960256,0.7050942673541675,0.00016147267361213058,0.3110033735441942,1.0162591135719738
2.962558,0.7124076585714593,0.00015986452566307363,0.3146641279118087,1.027231651008931
2.96486,0.7166623074604245,0.00015721839131053442,0.3212243315317217,1.0380438573834567
2.967161,0.7220127992416725,0.00015416291020732618,0.3267217032890067,1.0488886654408864
2.969463,0.7256850387211309,0.0001511659072113563,0.3316509667045018,1.057487171332844
2.971764,0.7326904669979496,0.0001485051533320075,0.3369286832154005,1.069767655366682
2.974066,0.7380030705940922,0.00014549353080922804,0.3422742931660913,1.0804228572909929
2.976368,0.7437538170487626,0.00014249652781325825,0.34651264098840784,1.0904089545649838
2.978669,0.748799260365315,0.00013977729582667097,0.3510025939111304,1.099941631572272
2.980971,0.755695881546446,0.00013683877093793954,0.3565184366777706,1.1123511569951543
