Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,all
2.85208,0.0013246627968158714,0.05374934153236192,0.011605634929762174,0.06667963925893998
2.854382,0.001381611811563375,0.05718925344837076,0.012586210822347337,0.07115707608228147
2.8566830000000003,0.0014361680105651846,0.06089668216474814,0.01384387477828379,0.07617672495359712
2.858985,0.0014940741516109649,0.06491182698602169,0.015285306983489497,0.08169120812112214
2.861286,0.0015577230504464096,0.06860824874996886,0.01672626062554607,0.08689223242596134
2.863588,0.0016275932702206571,0.07252480956251983,0.018137543352356046,0.09228994618509652
2.8658900000000003,0.0017036848109337078,0.07657680374627705,0.020099652263824642,0.0983801408210354
2.868191,0.0017893476146295317,0.08060104126738422,0.02206367542788979,0.10445406430990356
2.870493,0.0018860173707555452,0.08465255688799231,0.02400712037654197,0.11054569463528982
2.872795,0.0019850799426272526,0.08885194852168425,0.02592711573088637,0.11676414419519787
2.875096,0.0020750498146653246,0.09263929728396778,0.02791506705240845,0.12262941415104155
2.877398,0.002145398597588711,0.09656255798060667,0.03022748418904657,0.12893544076724195
2.879699,0.0022071332438276014,0.10046571902498178,0.03216327212731253,0.13483612439612191
2.882001,0.0022741320847070165,0.10435165179598786,0.03438093376042118,0.14100671764111605
2.884303,0.002354530693762315,0.10839742465880628,0.03631145750404663,0.14706341285661526
2.886604,0.0024425863132038327,0.1122206656572752,0.0384018213394844,0.15306507330996344
2.888906,0.002529684806347073,0.11634683712914895,0.04037015157189179,0.1592466735073878
2.891208,0.0026110405417006485,0.11976712795604308,0.04240643777147688,0.16478460626922062
2.893509,0.0026813893246240353,0.12399714763127992,0.04442166719249988,0.17110020414840382
2.895811,0.0027392954656698157,0.12844826348141875,0.04589612025499616,0.17708367920208473
2.898112,0.002796723043566457,0.13256055662196747,0.0479639916224244,0.18332127128795836
2.900414,0.002873771710577785,0.13665035729450664,0.04950831490469492,0.18903244390977936
2.902716,0.0029728342824494923,0.14095790419990395,0.05147377375820748,0.19540451224056093
2.905017,0.003047968696864265,0.1456660084611303,0.0534521538167468,0.20216613097474131
2.907319,0.003044618754820294,0.14976107332830996,0.055943553571162784,0.20874924565429304
2.909621,0.002976184224493463,0.15433948697611974,0.05813824417311277,0.215453915373726
2.911922,0.002949384688141697,0.159092097610216,0.0609655952582241,0.22300707755658186
2.9142240000000004,0.0030671112228298127,0.16386528645972526,0.06346130208098233,0.23039369976353735
2.916525,0.0033236210707681467,0.1689725123873332,0.06654229163513717,0.2388384250932385
2.918827,0.0036394727491996758,0.1741165876774249,0.06906240517850146,0.24681846560512605
2.921129,0.003957238680227761,0.1791625575219432,0.07216971570585892,0.2552895119080299
2.92343,0.004329082247108517,0.184372674526616,0.0758943726956053,0.2645961294693298
2.925732,0.004840666253537768,0.18970338944487175,0.07898445494959376,0.2735285106480033
2.928034,0.005569039366526842,0.19563757249419145,0.08271102619193668,0.28391763805265496
2.930335,0.006574979106016351,0.2005505017832492,0.08594084888547364,0.2930663297747392
2.932637,0.00791495592360466,0.20801800116240915,0.08968129845914158,0.3056142555451554
2.9349380000000003,0.009592319761335741,0.21394931283283394,0.09298529844079503,0.3165269310349647
2.93724,0.011554907235953477,0.219839946635582,0.09666640618396978,0.32806126005550523
2.939542,0.013739069448622418,0.22662214358517546,0.09987373640949722,0.3402349494432951
2.941843,0.015995494696811306,0.2329846406529742,0.10375775492790676,0.35273789027769226
2.944145,0.01813562909975949,0.2392796603167444,0.10704691945193694,0.3644622088684408
2.946447,0.020007289576040872,0.2452698352545133,0.11036144782287144,0.3756385726534256
2.948748,0.02157027682112781,0.2509656938555619,0.11374201790838707,0.3862779885850768
2.95105,0.022809755377397,0.2577201341425053,0.11651241997875092,0.3970423094986532
2.953351,0.02374199639191915,0.2634734203214505,0.11923113722900774,0.4064465539423774
2.955653,0.024433041579275408,0.2675268501946551,0.12188859839617487,0.4138484901701054
2.957955,0.02495036834349432,0.2749814283687883,0.1241703874912681,0.4241021842035507
2.960256,0.025317904842032828,0.2797536600919993,0.12642537705000956,0.4314969419840417
2.962558,0.02553373682229437,0.2845828408299577,0.128945969156523,0.4390625468087751
2.96486,0.025589250147594462,0.2915291849397057,0.13116315222648253,0.44828158731378265
2.967161,0.025451902523791658,0.2965421339269334,0.13356506067200954,0.4555590971227346
2.969463,0.025082930335805737,0.3023887399199607,0.13517925417405435,0.4626509244298208
2.971764,0.024461276805074587,0.30727295542007005,0.13756441290936153,0.4692986451345061
2.974066,0.023607520147011174,0.31215238528868805,0.1399567500919058,0.47571665552760495
2.976368,0.02254989558741469,0.31713997042901143,0.14191838044022526,0.4816082464566514
2.978669,0.021344873577883488,0.3221227699378434,0.14405803628002428,0.4875256797957512
2.980971,0.02008194542730651,0.32706919864734074,0.1464058670896987,0.4935570111643459
2.983273,0.018848209628826988,0.33223720209488944,0.14909634911415634,0.5001817608378728
2.985574,0.017702050886639842,0.3372640294134421,0.15195863530915482,0.5069247156092368
2.987876,0.01669036838936067,0.3418697211607528,0.1547869435205644,0.5133470330706779
2.990177,0.01584426874168348,0.34692382657880644,0.157635829947387,0.5204039252678769
2.992479,0.015150352175432391,0.35209470140524984,0.1613088021170264,0.5285538556977086
2.994781,0.014583733406852194,0.356646794079857,0.16417252400147225,0.5354030514881815
2.997082,0.014120962841635087,0.3613898334509705,0.16778471865117098,0.5432955149437766
2.999384,0.01373954801177156,0.3655241404963796,0.17146199788915265,0.5507256863973038
3.001686,0.013417953575550364,0.3708668194933638,0.1750272933502358,0.55931206641915
3.003987,0.013151872464629255,0.375964474157989,0.1781049329623467,0.5672212795849649
3.006289,0.012948483126245315,0.3806299862989421,0.1817544555376783,0.5753329249628657
3.0085900000000003,0.012812571191889931,0.3853964752643633,0.1854719340801876,0.5836809805364409
3.010892,0.012733608272282048,0.3894824474317094,0.18921764784849598,0.5914337035524875
3.013194,0.012696280346649231,0.39456765945445693,0.19296384017995366,0.6002277799810599
3.015495,0.012688623336263012,0.39866990276887376,0.19676123876836907,0.6081197648735058
3.0177970000000003,0.012701544541289758,0.4027592248782639,0.19973120167192376,0.6151919710914774
3.020098,0.012727865514492384,0.4073787949568996,0.2036640336315454,0.6237706941029373
3.0224,0.01275801499288812,0.41187346005361,0.2067852224902279,0.631416697536726
3.024702,0.012779071771450223,0.4157823638557748,0.2097097218946144,0.6382711575218394
3.027003,0.0127800288977485,0.4197941587350043,0.21234086208857889,0.6449150497213316
