Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.0013412228010552284,0.1066160681302692,0.05442127806275902,0.16237856899408346
2.854382,0.0013988837524011725,0.11065621109096227,0.05790419334237786,0.16995928818574133
2.8566830000000003,0.0014541219746989672,0.11519688987300294,0.061657969729579765,0.17830898157728167
2.858985,0.0015127520176641705,0.11942891297430945,0.06572330907237361,0.18666497406434726
2.861286,0.0015771966103449307,0.12390417807205008,0.06946594090595404,0.19494731558834905
2.863588,0.0016479402985508788,0.12851850781715446,0.07343146381196414,0.20359791192766946
2.8658900000000003,0.0017249830822820135,0.1334947932820523,0.07753411318209949,0.2127538895464338
2.868191,0.001811716782205744,0.1381730830740278,0.08160865889527627,0.22159345875150985
2.870493,0.0019095950357509593,0.14278159826941664,0.08571082371960201,0.2304020170247696
2.872795,0.0020098960183443236,0.14774480099745446,0.08996271319910333,0.2397174102149021
2.875096,0.0021009906305547218,0.15287953294210124,0.09379740873651338,0.2487779323091693
2.877398,0.0021722188645703,0.15794206756111318,0.09776971528385832,0.2578840017095418
2.879699,0.0022347252740125413,0.16319309050007108,0.1017216709071988,0.2671494866812824
2.882001,0.0023025616873607107,0.1684586498133179,0.1056561828813926,0.2764173943820712
2.884303,0.002383965383378513,0.17352118443232986,0.10975253315600274,0.2856576829717111
2.886604,0.002473121812350393,0.1786840200339351,0.11362356962913504,0.29478071147542056
2.888906,0.0025613091497030125,0.18369906916360332,0.11780132359976302,0.30406170191306936
2.891208,0.0026436819373400746,0.1887335001256568,0.12126437250118705,0.31264155456418385
2.893509,0.0027149101713556524,0.1938973048188813,0.12554727291250467,0.3221594879027416
2.895811,0.0027735402143208555,0.19904463495457844,0.13005403348787126,0.3318722086567705
2.898112,0.002831685711476429,0.2046275717731328,0.13421773563001993,0.3416769931146291
2.900414,0.0029096975868268234,0.2096460127234684,0.138358664119116,0.3509143744294112
2.902716,0.0030099985694201875,0.2142462906400935,0.14272006095159367,0.3599763501611074
2.905017,0.003086072261532063,0.2190718823581965,0.14748702262673144,0.36964497724646
2.907319,0.0030826804408646546,0.22391394863382685,0.15163328111973345,0.3786299101944249
2.909621,0.0030133903900875962,0.2283596564371801,0.15626893088046154,0.3876419777077293
2.911922,0.002986255824748329,0.23347161472877426,0.16108095531589486,0.3975388258694174
2.9142240000000004,0.003105454093917255,0.2378984252455519,0.16591381522114232,0.40691769456061133
2.916525,0.0033651706478788164,0.24235915396900365,0.1710848881015113,0.4168092127183938
2.918827,0.0036849708822344705,0.24685961544884505,0.1762932710092218,0.4268378573403013
2.921129,0.0040067092998286435,0.2511614131467382,0.1814023220259582,0.436570444472525
2.92343,0.004383201393910982,0.2551409878812276,0.1866775722553976,0.44620176153053615
2.925732,0.004901180864405216,0.2588792588025214,0.1920749280288637,0.4558553676957903
2.928034,0.005638659586661739,0.2632527692802397,0.19808329606827296,0.4669747249351745
2.930335,0.006657174878503535,0.2658930593969124,0.2030576433499323,0.4756078776253482
2.932637,0.008013903145466916,0.2704012736097079,0.2106184961633953,0.4890336729185701
2.9349380000000003,0.009712236208219292,0.27447194295640764,0.2166239569279468,0.5008081360925738
2.93724,0.011699358573511016,0.278180656583314,0.22258823129867975,0.5124682464555048
2.939542,0.013910825648661328,0.28172123281427874,0.22945521451275305,0.525087272975693
2.941843,0.016195459141065738,0.2852119008268517,0.2358972510517809,0.5373046110196984
2.944145,0.01836234800173011,0.2882630857900904,0.24227096663165104,0.5488964004234715
2.946447,0.020257406663192173,0.2916156582469188,0.24833602653078696,0.5602090914408979
2.948748,0.02183993327744304,0.2949769525283206,0.2541030907570006,0.5709199765627643
2.95105,0.023094906924384158,0.29819869761654905,0.2609419703141153,0.5822355748550485
2.953351,0.024038802161542968,0.3013787717651492,0.2667671800374845,0.5921847539641767
2.955653,0.024738486310648376,0.3025760844607444,0.2708712830450488,0.5981858538164415
2.957955,0.025262280330858162,0.30684832486425023,0.27841905312165177,0.6105296583167601
2.960256,0.02563441151265384,0.310157288198212,0.28325094393528005,0.6190426436461458
2.962558,0.02585294167279686,0.31172721662141245,0.2881404957002541,0.6257206539944633
2.96486,0.02590914898671392,0.3155279939521484,0.2951736781270303,0.6366108210658927
2.967161,0.025770084339350168,0.3176876146256684,0.3002492954829023,0.6437069944479208
2.969463,0.02539649952012561,0.32101159887972863,0.30616899163914923,0.6525770900390035
2.971764,0.024767074513416528,0.32357969167076645,0.3111142661722308,0.6594610323564138
2.974066,0.023902644789037003,0.3262030226841021,0.316054695247216,0.6661603627203552
2.976368,0.022831798549755197,0.329695144334104,0.3211046316751776,0.6736315745590368
2.978669,0.02161171220110741,0.33182423862161714,0.3261497226450429,0.6795856734677674
2.980971,0.020332995809494426,0.3348051644424596,0.3311579881333762,0.6862961483853303
2.983273,0.01908383671226885,0.337418319993793,0.33639059833156826,0.6928927550376301
2.985574,0.017923349498205527,0.34000870189207383,0.3414802675159194,0.6994123189061987
2.987876,0.016899019656648175,0.3426688583869413,0.3461435363877964,0.7057114144313859
2.990177,0.016042342665222725,0.3452994575874213,0.3512608246832965,0.7126026249359405
2.992479,0.015339751241259547,0.3479300567879014,0.35649634215634624,0.7197661501855072
2.994781,0.014766049002657891,0.35057567690848,0.3611053418975447,0.7264470678086826
2.997082,0.01429749320474589,0.3532489161402075,0.3659076754167855,0.7334540847617388
2.999384,0.01391131019447096,0.3559381453836528,0.3700936666661772,0.7399431222443009
3.001686,0.013585695410399749,0.3586157455276669,0.37550313608488395,0.7477045770229507
3.003987,0.013316287940245591,0.3612889847593944,0.3806645180490604,0.7552697907487004
3.006289,0.013110355971152931,0.3632281370895328,0.3853883551471412,0.7617268482078269
3.0085900000000003,0.012972744961218077,0.3658422617324855,0.3902144314110537,0.7690294381047573
3.010892,0.012892794902629163,0.3684384581804818,0.3943514835336728,0.7756827366167838
3.013194,0.01285500032947804,0.3707066171153589,0.3995002673067988,0.7830618847516357
3.015495,0.012847247596523965,0.3725759948489105,0.4036537939869452,0.7890770364323796
3.0177970000000003,0.01286033033338397,0.374636768177266,0.4077942379302317,0.7952913364408817
3.020098,0.012886980352913604,0.3764659286086184,0.412471558630588,0.80182446759212
3.0224,0.01291750673892028,0.37782265687558175,0.4170224128746308,0.8077625764891329
3.024702,0.01293882675454399,0.3790301450331792,0.4209801830476869,0.8129491548354101
3.027003,0.012939795846163251,0.38021873590420097,0.4250421305698133,0.8182006623201775
3.029305,0.01292186765120695,0.3817232506431015,0.4287469678302427,0.8233920861245512
