Wavelength,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,HNCO_NH3,all
2.85208,0.23979896413772864,0.003613610042425732,0.000349464345666686,0.24376203852582104
2.854382,0.24975349320110224,0.003887728883778466,0.00036433516888654497,0.2540055572537673
2.8566830000000003,0.2600019688701217,0.0041910936774635895,0.000379205992106404,0.2645722685396917
2.858985,0.27024152204520924,0.004536096776164318,0.00039407681532626287,0.27517169563669985
2.861286,0.2811572019826931,0.004920259709344008,0.00040894763854612185,0.2864864093305832
2.863588,0.2925774985214375,0.005339616924144031,0.0004238184617659809,0.2983409339073475
2.8658900000000003,0.3033613238263719,0.0057902028677057574,0.00043868928498583997,0.3095902159790635
2.868191,0.31503838991271244,0.006267060598955903,0.00045356010820569895,0.32175901061987394
2.870493,0.3268552417373197,0.00676473748271385,0.0004684309314255577,0.3340884101514591
2.872795,0.3385114886711525,0.0072757981073696704,0.0004833017546454168,0.3462705885331676
2.875096,0.3502559691560898,0.00779032859077679,0.0004981725778652758,0.35854447032473186
2.877398,0.3623811427154555,0.008300893521325282,0.0005130434010851348,0.371195079637866
2.879699,0.3744374147939025,0.00881294553419576,0.0005279142243049936,0.3837782745524033
2.882001,0.38639008680391773,0.009336398511534795,0.000542289353417524,0.39626877466887017
2.884303,0.3975213936780896,0.009871252453342387,0.000557160176637383,0.4079498063080694
2.886604,0.4104178672684585,0.010404123618720668,0.0005715353057499134,0.4213935261929293
2.888906,0.4230560842289095,0.010918654102127792,0.0005864061289697724,0.43456114446000704
2.891208,0.43488681548852204,0.011408895574275808,0.0006007812580823027,0.4468964923208801
2.893509,0.4467115984188465,0.011878317893916022,0.0006156520813021617,0.4592055683940646
2.895811,0.4585547220311422,0.012328903837477749,0.0006300272104146921,0.4715136530790346
2.898112,0.4706749386494346,0.012758174934424346,0.0006448980336345512,0.4840780116174934
2.900414,0.4819936178961766,0.013159687161360541,0.0006592731627470814,0.4958125782202841
2.902716,0.4939452985179771,0.013531457741857015,0.0006736482918596117,0.5081504045516937
2.905017,0.5049591258887121,0.013882904863953015,0.0006880234209721421,0.5195300541736373
2.907319,0.5166748561154244,0.014225925186224429,0.0007028942441920012,0.5316036755458409
2.909621,0.5266169928261147,0.014563492873315225,0.0007202435379485031,0.5419007292373785
2.911922,0.5355414695344594,0.014883711266649524,0.0008020330656577276,0.5512272138667667
2.9142240000000004,0.5481494491543631,0.015174683707651428,0.0008912580049768815,0.5642153908669915
2.916525,0.5581555304048988,0.015426000620067047,0.0009804829442960354,0.5745620139692621
2.918827,0.5685368520946825,0.015625765345320487,0.0010692121895078603,0.5852318296295108
2.921129,0.5786296798140008,0.01576505538947983,0.0011564543523977,0.5955511895558784
2.92343,0.5880250659243077,0.015846844917189056,0.0012446879035021964,0.6051165987449989
2.925732,0.5976568981238104,0.015876090869521443,0.0013373827015726507,0.6148703716949045
2.928034,0.6064316752117418,0.015857750187550288,0.0014266076408918046,0.6237160330401839
2.930335,0.6145238815138818,0.01579578842413421,0.001509884250923015,0.6318295541889389
2.932637,0.6243430860859547,0.015694171132131837,0.0016402518011504456,0.6416775090192369
2.9349380000000003,0.6320793840190325,0.01556033372315311,0.0019069352308932496,0.6495466529730789
2.93724,0.6401502754745573,0.015405677161666576,0.002156269366879552,0.6577122220031033
2.939542,0.6479415954535488,0.015241106718033469,0.002416508773227084,0.6655992109448093
2.941843,0.6525887277097547,0.015074553497971047,0.0026762524854672875,0.6703395336931931
2.944145,0.6613342588453538,0.014912957218981912,0.0029355005036001626,0.6791827165679358
2.946447,0.6703286284228319,0.014759292045710037,0.003184338945479136,0.6882722594140209
2.948748,0.6734054017470208,0.014601661319579531,0.003453996539865913,0.6914610596064662
