Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,HNCO_NH3,all
2.85208,0.001356415539057285,0.2370610573831317,0.0003454743334665412,0.2387629472556555
2.854382,0.001414729646408375,0.2469019305245148,0.00036017536893320247,0.24867683553985634
2.8566830000000003,0.0014705935811816881,0.2570333941336222,0.0003748764043998638,0.2588788641192037
2.858985,0.0015298877575638885,0.2671560371214496,0.0003895774398665252,0.26907550231888
2.861286,0.0015950623481327535,0.2779470871884946,0.0004042784753331864,0.27994642801196057
2.863588,0.0016666073874038391,0.2892369923923749,0.00041897951079984783,0.2913225792905786
2.8658900000000003,0.001744522875377144,0.2998976932782821,0.00043368054626650906,0.3020758966999258
2.868191,0.0018322390536615566,0.3114414363612202,0.0004483815817331705,0.3137220569966149
2.870493,0.001931226025803743,0.3231233691775448,0.00046308261719983163,0.3255176778205484
2.872795,0.002032663170523706,0.3346465308108295,0.0004777836526664932,0.3371569776340197
2.875096,0.0021247896594481165,0.3462569185878831,0.0004924846881331545,0.3488741929354644
2.877398,0.0021968247332347576,0.3582436528728832,0.0005071857235998156,0.3609476633297177
2.879699,0.002260039185741401,0.3701622723602211,0.0005218867590664769,0.37294419830502895
2.882001,0.002328644017919154,0.3819784746338079,0.000536097760017583,0.3848432164117446
2.884303,0.002410969816532457,0.39298268971511946,0.0005507987954842444,0.39594445832713615
2.886604,0.002501136167394647,0.4057319177063237,0.0005650097964353503,0.40879806367015376
2.888906,0.0025903224492257256,0.4182258377149237,0.0005797108319020117,0.4213958709960514
2.891208,0.00267362831687014,0.4299214914976839,0.0005939218328531175,0.4331890416474071
2.893509,0.0027456633906567805,0.44161126486625735,0.0006086228683197789,0.4449655511252339
2.895811,0.0028049575670389807,0.4533191695119064,0.0006228338692708848,0.4567469609482162
2.898112,0.0028637617089056263,0.465301003451751,0.0006375349047375463,0.4688023000653941
2.900414,0.0029426572659100422,0.4764904515799425,0.0006517459056886521,0.4800848547515412
2.902716,0.003044094410630005,0.4883056737844981,0.000665956906639758,0.4920157251017679
2.905017,0.0031210298295721987,0.4991937506856231,0.0006801679075908642,0.5029949484227861
2.907319,0.003117599587963312,0.5107757164607745,0.0006948689430575254,0.5145881849917953
2.909621,0.0030475246522388925,0.5206043387392687,0.0007120201511019635,0.5243638835426095
2.911922,0.0030200827193677922,0.5294269201573276,0.0007928758461686008,0.533239878722864
2.9142240000000004,0.003140631210194415,0.5418909480604787,0.0008810820589685689,0.5459126613296416
2.916525,0.003403289710532097,0.5517827847914795,0.0009692882717685367,0.5561553627737801
2.918827,0.003726712490798646,0.5620455776507558,0.0010570044500529494,0.5668292945916075
2.921129,0.004052095409127417,0.5720231704219789,0.001143250524790696,0.5772185163558969
2.92343,0.004432852227713945,0.5813112846298155,0.0012304766685595526,0.5869746135260889
2.925732,0.004956699124842643,0.590833145301572,0.0013221131229684087,0.5971119575493831
2.928034,0.005702531657517928,0.5995077362959332,0.0014103193357683766,0.6066205872892195
2.930335,0.006732584209215332,0.6075075497623749,0.0014926451343816802,0.6157327791059718
2.932637,0.008104680852770389,0.6172146434810113,0.0016215242119727445,0.6269408485457544
2.9349380000000003,0.009822251829791987,0.6248626121652839,0.0018851627813415367,0.6365700267764176
2.93724,0.011831883378084593,0.6328413541475567,0.0021316501426658922,0.6468048876683072
2.939542,0.014068400907079332,0.6405437166630562,0.0023889182633324646,0.6570010358334679
2.941843,0.01637891364792294,0.6451377902463877,0.0026456963494834837,0.6641624002437942
2.944145,0.018570348001486586,0.6537834692043314,0.002901984401118945,0.6752558016069371
2.946447,0.020486872991823668,0.6626751454890837,0.0031479817279277448,0.686310000208835
2.948748,0.022087325719627533,0.665716789727136,0.003414560504389871,0.6912186759511534
2.95105,0.02335651511491596,0.6745075189016838,0.0039026348818830274,0.7017666688984828
2.953351,0.02431110235121784,0.6808877682942149,0.004414230916122841,0.7096131015615555
2.955653,0.0250187121916798,0.687614962123759,0.004840070910140464,0.7174737452255794
2.957955,0.02554843950299516,0.6922178563283707,0.005118410514975918,0.7228847063463418
2.960256,0.02592478601094169,0.6989533807446795,0.0054124312243091464,0.7302905979799303
2.962558,0.026145791577457164,0.7029775441864202,0.005358527427598053,0.7344818631914753
2.96486,0.026202635581261596,0.7090280003499825,0.005269831180282529,0.7405004671115266
2.967161,0.0260619956752972,0.7133848972277853,0.005167413966531457,0.7446143068696139
