Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,HNCO_NH3,all
2.85208,0.1639417790572006,0.00015367675886475063,0.00034503858280143064,0.16444049439886674
2.854382,0.17328082336502595,0.00016591216960239,0.00035972107568659785,0.17380645661031496
2.8566830000000003,0.1817868809098329,0.00017521108176299596,0.0003744035685717651,0.1823364955601676
2.858985,0.1919319940770539,0.00017765816391052382,0.0003890860614569324,0.19249873830242134
2.861286,0.2008834205727109,0.00017667933105151268,0.0004037685543420996,0.20146386845810446
2.863588,0.2107564182051269,0.00017521108176299596,0.0004184510472272669,0.21135008033411712
2.8658900000000003,0.22086237805798756,0.0001761899146220071,0.00043313354011243415,0.221471701512722
2.868191,0.23154927521267124,0.00017912641319904054,0.00044781603299760137,0.2321762176588679
2.870493,0.2422552596081057,0.0001825523282055796,0.00046249852588276864,0.24290031046219404
2.872795,0.25310953718168033,0.00018499941035310746,0.00047718101876793585,0.25377171761080136
2.875096,0.26435485848243,0.00018450999392360191,0.0004918635116531032,0.26503123198800665
2.877398,0.27546216435005894,0.00018010524605805168,0.0005065460045382703,0.2761488156006553
2.879699,0.28763835569972823,0.0001747216653334904,0.0005212284974234377,0.28833430586248515
2.882001,0.29953068552028417,0.00017521108176299596,0.0005354215738790993,0.30024131817592625
2.884303,0.31178469408224474,0.0001830417446350852,0.0005501040667642666,0.3125178398936441
2.886604,0.3236564684127615,0.0001918512403661855,0.0005642971432199283,0.3244126167963476
2.888906,0.33634703642984104,0.0001962559882317357,0.0005789796361050955,0.3371222720541779
2.891208,0.3495118489671115,0.00019821365394975801,0.0005931727125607572,0.350303235333622
2.893509,0.3611173807599773,0.00020898081539888063,0.0006078552054459245,0.3619342167808221
2.895811,0.3743776295010013,0.00023589871902168725,0.0006220482819015862,0.37523557650192463
2.898112,0.3875434208711308,0.00026428487193301065,0.0006367307747867535,0.3884444365178506
2.900414,0.400416541216416,0.00026868961979856085,0.0006509238512424152,0.4013361546874569
2.902716,0.4130929161570399,0.0002451976311822932,0.0006651169276980768,0.4140032307159202
2.905017,0.42651711940194825,0.00025498595977240467,0.0006793100041537387,0.4274514153658744
2.907319,0.43890571748202295,0.0003699988207062149,0.0006939924970389057,0.439969708799768
2.909621,0.45230251340687894,0.0005755537210985565,0.0007111220720716009,0.4535891892000492
2.911922,0.4656738596774008,0.000737550559264902,0.0007918757829400207,0.4672032860196057
2.9142240000000004,0.4790819121801356,0.0007297198963928128,0.0008799707402510244,0.4806916028167794
2.916525,0.4930836268118606,0.0006103022875934524,0.0009680656975620279,0.4946619947970161
2.918827,0.5070412939649301,0.0005598923953543781,0.001055671238443526,0.5086568575987279
2.921129,0.5213023993042929,0.0007297198963928128,0.001141808530036507,0.5231739277307224
2.92343,0.5378348862929913,0.001121253039997273,0.0012289246544884994,0.5401850639874771
2.925732,0.552687206679197,0.0016889760982237401,0.0013204455268060419,0.5556966283042267
2.928034,0.5694017565796714,0.002395204006000285,0.0014085404841170455,0.5732055010697887
2.930335,0.5838596073236957,0.0032115506104155853,0.0014907624442739825,0.5885619203783852
2.932637,0.597052316597448,0.004110608591417327,0.001619478965233949,0.6027824041540992
2.9349380000000003,0.609652342575069,0.00504392572248446,0.001882785004307948,0.6165790533018614
2.93724,0.6218079784346989,0.0059444519527747175,0.0021289614683492526,0.629881391855823
2.939542,0.6322658287003741,0.006751010228599905,0.00238590509383968,0.6414027440228136
2.941843,0.6414047016885317,0.0074557698870879345,0.0026423593029006012,0.6515028308785202
2.944145,0.6524767695732363,0.008078307585419027,0.002898324095532017,0.6634534012541874
2.946447,0.661885800430481,0.008672459130838793,0.0031440111431438158,0.6737022707044635
2.948748,0.6718659802609587,0.009414903854398752,0.0034102536807948487,0.6846911377961523
2.95105,0.6820189240910518,0.010501408327901128,0.0038977124445824024,0.6964180448635353
2.953351,0.6897590449236826,0.012022514590804455,0.004408663196986223,0.7061902227114732
2.955653,0.6991392002115864,0.013912640841554988,0.004833966074226567,0.7178858071273679
2.957955,0.7050048561192107,0.016080266207835182,0.005111954606185735,0.7261970769332317
2.960256,0.7104222065774081,0.01825767990270549,0.0054056044638890795,0.7340854909440024
2.962558,0.7177908603400439,0.020056774697567985,0.005351768656643466,0.7431994036942553
2.96486,0.7220776588460832,0.02113740617391629,0.005263184282902958,0.7484782493029024
2.967161,0.7274685808170871,0.021421267703029528,0.0051608962491362905,0.7540507447692529
2.969463,0.7311685690241493,0.02091178519991422,0.005060565881087649,0.7571409201051511
2.971764,0.7382269327704786,0.019687265293291272,0.004971492090917635,0.7628856901546874
2.974066,0.7435796802599812,0.017992416197913464,0.004870672306439484,0.7664427687643341
2.976368,0.7493738813688977,0.016089075703566283,0.0047703419383908425,0.7702332990108549
2.978669,0.7544574498221721,0.014142666563422609,0.004679310482502805,0.7732794268680975
2.980971,0.7614061842882923,0.012220238828324707,0.004580937780172185,0.7782073608967892
2.983273,0.7692231435003553,0.0103849272176788,0.004480607412123542,0.7840886781301576
2.985574,0.7726378019290157,0.008707697113763195,0.004393980704101055,0.7857394797468799
2.987876,0.7811100897401867,0.007262939813862737,0.004292671503193401,0.7926657010572428
2.990177,0.7895784622199216,0.0061044911252230395,0.004165423231521951,0.7998483765766665
2.992479,0.7945176528264919,0.005214732056381905,0.004014682971234234,0.8037470678541079
2.994781,0.8020654330023271,0.004561361122991962,0.003865900376664539,0.8104926945019836
2.997082,0.8102156848028832,0.004107672092840293,0.0037176071985243492,0.8180409640942478
