Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,HNCO_NH3,all
2.85208,0.00015594459977560866,0.24025599798040626,0.00035013039121593664,0.24076207297139776
2.854382,0.00016836057109532272,0.2502294994221061,0.0003650295567995935,0.25076288955000103
2.8566830000000003,0.00017779670929830542,0.2604975077035097,0.0003799287223832504,0.2610552331351912
2.858985,0.00018027990356224823,0.2707565764855629,0.0003948278879669073,0.2713316842770921
2.861286,0.00017928662585667109,0.28169306066282,0.0004097270535505642,0.2822820743422272
2.863588,0.00017779670929830542,0.29313512319221563,0.00042462621913422113,0.2937375461206481
2.8658900000000003,0.00017878998700388257,0.30393950143463083,0.0004395253847178779,0.3045578168063526
2.868191,0.00018176982012061392,0.31563882288977096,0.00045442455030153474,0.31627501726019314
2.870493,0.0001852462920901339,0.32747819650139753,0.00046932371588519163,0.3281327665093729
2.872795,0.00018772948635407665,0.3391566591247205,0.0004842228814688485,0.33982861149254345
2.875096,0.00018723284750128807,0.35092352346384004,0.0004991220470525054,0.3516098783583937
2.877398,0.00018276309782619103,0.363071806441901,0.0005140212126361623,0.36376859075236334
2.879699,0.00017730007044551685,0.3751510566194245,0.0005289203782198192,0.3758572770680898
2.882001,0.00017779670929830542,0.3871265092767151,0.0005433229049506875,0.387847628890964
2.884303,0.00018574293094292244,0.39827903135493503,0.0005582220705343444,0.3990229963564123
2.886604,0.00019468243029311652,0.41120008438793504,0.0005726245972652126,0.4119673914154934
2.888906,0.0001991521799682136,0.4238623885786323,0.0005875237628488696,0.42464906452144935
2.891208,0.00020113873537936784,0.43571566807813694,0.0006019262895797379,0.436518733103096
2.893509,0.00021206479014071624,0.447562987911408,0.0006168254551633947,0.44839187815671216
2.895811,0.0002393799270440872,0.4594286833822324,0.0006312279818942631,0.4602992912911707
2.898112,0.0002681849805058238,0.4715719999717655,0.00064612714747792,0.4724863120997493
2.900414,0.0002726547301809209,0.4829122515363395,0.0006605296742087883,0.4838454359407292
2.902716,0.0002488160652470698,0.4948867109159245,0.0006749322009396567,0.4958104591821113
2.905017,0.0002587488423028412,0.5059215295860336,0.000689334727670525,0.506869613156007
2.907319,0.00037545897270815335,0.5176595888716914,0.0007042338932541817,0.5187392817376537
2.909621,0.0005840472908793497,0.5276206743420716,0.0007216162531017813,0.5289263378860527
2.911922,0.0007484347511523639,0.5365621602476768,0.0008035616638118943,0.5381141566626411
2.9142240000000004,0.0007404885295077469,0.5491941694683539,0.0008929566573138355,0.5508276146551754
2.916525,0.0006193086494273376,0.5592193213507438,0.000982351650815777,0.5608209816509869
2.918827,0.0005681548475901157,0.5696204288446948,0.0010712500054649297,0.5712598336977498
2.921129,0.0007404885295077469,0.5797324925263226,0.0011586584435557164,0.5816316394993859
2.92343,0.0011377996117385972,0.5891457853420771,0.0012470601593520807,0.5915306451131677
2.925732,0.0017139006809733293,0.5987959748906116,0.0013399316248235418,0.6018498071964085
2.928034,0.002430550545547225,0.6075874758626747,0.0014293266183254831,0.6114473530265474
2.930335,0.003258944151998548,0.6156951051344479,0.0015127619455939615,0.6204668112320405
2.932637,0.0041712697245711375,0.6255330241693366,0.001643377963877354,0.6313476718577852
2.9349380000000003,0.005118360016838928,0.6332840667448077,0.0019105696666776005,0.6403129964283243
2.93724,0.006032175505969881,0.641370340545911,0.0021603790096302467,0.6495628950615112
2.939542,0.006850636335365433,0.6491765100340418,0.002421114407344243,0.6584482607767514
2.941843,0.007565796283380962,0.6538324992789345,0.0026813531662054496,0.6640796487285209
2.944145,0.008197520904128015,0.6625946985586831,0.002941095286213868,0.6737333147490251
2.946447,0.00880044047141333,0.6716062105425317,0.0031904079903137253,0.6835970590042587
2.948748,0.009553841611093579,0.6746888479017903,0.003460579526230705,0.6877032690391146
2.95105,0.010656379864284188,0.6835980522819642,0.003955231823608113,0.6982096639698565
2.953351,0.01219993341875104,0.6900642901452714,0.0044737227859193715,0.7067379463499418
2.955653,0.014117952668220468,0.6968821483163528,0.004905301948992634,0.7159054029335659
2.957955,0.016317566147221015,0.7015470770605957,0.005187392817376536,0.7230520360251933
2.960256,0.018527112403277327,0.7083733780921745,0.005485376129049675,0.7323858666245014
2.962558,0.02035275682612809,0.7124517763512741,0.005430745855242933,0.7382352790326452
2.96486,0.021449335413085233,0.7185837762666546,0.005340854222888204,0.7453739659026278
2.967161,0.0217373859477026,0.7229993923067977,0.0052370567026553926,0.7499738349571556
2.969463,0.0212203849019497,0.7263561743127955,0.005135245737833739,0.7527118049525792
2.971764,0.01997779449227272,0.7322065799986448,0.005044857466626218,0.7572292319575438
2.974066,0.018257934145065928,0.7378032032307191,0.004942549862951774,0.7610036872387368
2.976368,0.016326505646571208,0.7421855444677254,0.00484073889813012,0.7633527890124268
2.978669,0.014351372929031096,0.7471971271312148,0.0047483640715114475,0.7662968641317573
2.980971,0.01240057551527762,0.7524098485300835,0.004648539662100946,0.7694589637074621
2.983273,0.01053817981732051,0.7563561408543414,0.004546728697279291,0.7714410493689413
2.985574,0.008836198468814106,0.7583814340960132,0.004458823620335715,0.771676456185163
2.987876,0.0073701205753822704,0.7646827878601945,0.0043560193778084825,0.7764089278133852
2.990177,0.00619457641083174,0.7699282874233473,0.004226893276083456,0.7803497571102626
2.992479,0.005291686976462135,0.7727924036873791,0.004073928509424579,0.7821580191732657
2.994781,0.004628674107989404,0.7772596701682121,0.003922950298176856,0.7858112945743784
2.997082,0.004168289891454406,0.7805613252615504,0.0037724687257819213,0.7885020838787868
2.999384,0.0038668301078117477,0.7848493051165268,0.003621987153386988,0.7923381223777256
