Wavelength,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,all
2.85208,0.1063702724457237,0.05429581371643804,0.011723629987689324,0.17238971614985107
2.854382,0.1104011011471114,0.05777069938513256,0.012714175443331378,0.18088597597557526
2.8566830000000003,0.11493131172047485,0.061515821710588385,0.013984626130216352,0.1904317595612796
2.858985,0.11915357819659868,0.06557178870562833,0.015440713447148447,0.20016608034937547
2.861286,0.12361852589221115,0.06930579217043029,0.016896317335356462,0.2098206353979979
2.863588,0.1282222176316349,0.07326217284830952,0.018321948642671452,0.21980633912261588
2.8658900000000003,0.1331870306279472,0.0773553638551037,0.020304006411403727,0.23084640089445466
2.868191,0.13785453495894964,0.08142051599590118,0.022287997895032316,0.2415630488498831
2.870493,0.14245242555368445,0.08551322357397127,0.024251201943525414,0.25221685107118114
2.872795,0.14740418597444652,0.0897553106277824,0.02619071798453856,0.26335021458676744
2.875096,0.1525270801635333,0.09358116555015976,0.0281988809043712,0.2743071266180642
2.877398,0.15757794347273205,0.09754431423017614,0.03053480849913079,0.285657066202039
2.879699,0.16281686055559827,0.1014871589037811,0.0324902776880386,0.29679429714741795
2.882001,0.16807028050018696,0.10541260014331914,0.03473048639543014,0.30821336703893626
2.884303,0.17312114380938567,0.10949950657670028,0.03668063786837306,0.31930128825445897
2.886604,0.17827207686446914,0.11336161865338368,0.038792254535159054,0.3304259500530119
2.888906,0.18327556415870794,0.11752974111241045,0.040780596877304384,0.3415859021484228
2.891208,0.18829838860190995,0.12098480620341764,0.0428375860982692,0.3521207809035968
2.893509,0.1934502885144416,0.12525783269556998,0.04487330445537447,0.3635814256653861
2.895811,0.19858575185035449,0.1297542032582477,0.046362748354268166,0.3747027034628704
2.898112,0.20415581760921625,0.1339083062842761,0.04845164387102233,0.3865157677645147
2.900414,0.2091626889045236,0.13803968816027268,0.050011668363631856,0.39721404542842814
2.902716,0.21375236121094898,0.14239103010572615,0.05199711013343268,0.40814050145010783
2.905017,0.21856682787407208,0.14714700189323546,0.05399560447878371,0.4197094342460912
2.907319,0.22339773111381392,0.15128370148519688,0.05651233441634961,0.4311937670153604
2.909621,0.22783318965725746,0.1559086640884802,0.058729338544985264,0.4424711922907229
2.911922,0.2329333626963125,0.16070959474732902,0.06158543544685606,0.4552283928904976
2.9142240000000004,0.2373499675195169,0.16553131284131334,0.06410651624293869,0.4669877966037689
2.916525,0.2418004123534069,0.17069046418470618,0.06721883036857243,0.4797097069066856
2.918827,0.2462904983426716,0.1758868395398533,0.06976456602958317,0.4919419039121081
2.921129,0.25058237855506305,0.1809841120065638,0.07290346873504139,0.5044699592966683
2.92343,0.2545527786659407,0.1862472005256341,0.07666599449456413,0.5174659736861389
2.925732,0.25828243127222594,0.1916321130831728,0.07978749376595541,0.5297020381213542
2.928034,0.2626458589357814,0.1976266292617777,0.08355195324037447,0.5438244414379336
2.930335,0.265280062053299,0.2025895085431937,0.08681461369919742,0.5546841842956901
2.932637,0.26977788290214905,0.21013293035375424,0.09059309260661484,0.5705039058625181
2.9349380000000003,0.27383916761315386,0.21612454596001465,0.09393068451767037,0.5838943980908389
2.93724,0.2775393310672701,0.22207507012472816,0.09764921826330172,0.5972636194553
2.939542,0.2810717447541303,0.22892622200240476,0.10088915757209284,0.6108871243286278
2.941843,0.2845543652824101,0.2353534068890621,0.10481266509673458,0.6247204372682068
2.944145,0.28759851595794844,0.24171242832562415,0.10813527071734358,0.6374462150009161
2.946447,0.2909433592998651,0.24776350566494654,0.11148349806032884,0.6501903630251405
2.948748,0.2942969043588153,0.2535172743389591,0.11489843856723732,0.6627126172650117
2.95105,0.2975112219452301,0.2603403873506389,0.11769700745094247,0.6755486167468114
2.953351,0.300683964661374,0.2661521674715412,0.12044336603244687,0.687279498165362
2.955653,0.30187851703857826,0.27024680876450763,0.1231278457372689,0.6952531715403547
2.957955,0.30614090809880085,0.27777717799951795,0.1254328338936873,0.7093509199920062
2.960256,0.3094422428555502,0.2825979292360541,0.12771075004155716,0.7197509221331616
2.962558,0.31100855192157284,0.2874762084907559,0.130256969131292,0.7287417295436207
2.96486,0.3148005668332645,0.29449317642079226,0.13249669440995948,0.7417904376640163
2.967161,0.3169552086564937,0.2995570923055412,0.13492302317612226,0.7514353241381572
2.969463,0.3202715297036897,0.3054631410276392,0.13655362826244755,0.7622882989937765
2.971764,0.3228337019413192,0.3103970145856103,0.13896303702326748,0.772193753550197
2.974066,0.3254509850534939,0.3153260538563406,0.1413796972149486,0.7821567361247831
2.976368,0.328935055867946,0.3203643480187132,0.1433612715549568,0.7926606754416161
2.978669,0.33105924168155804,0.32539780789384504,0.1455226813803231,0.8019797309557262
2.980971,0.3340332951921046,0.33039452718594664,0.1478943827006647,0.812322205078716
2.983273,0.33664042630107377,0.33561507397729784,0.1506122189874483,0.8228677192658199
2.985574,0.339224836260011,0.3406930092950451,0.15350360618617706,0.8334214517412328
2.987876,0.3418788599552159,0.345345527335601,0.15636066994549594,0.8435850572363128
2.990177,0.3445033944982518,0.3504510180906209,0.15923852113995046,0.8541929337288231
2.992479,0.3471279290412878,0.3556744654543165,0.1629488365972724,0.8657512310928768
2.994781,0.34976744987477026,0.3602728394777753,0.16584167408217335,0.8758819634347189
2.997082,0.3524345261455254,0.3650641015621426,0.16949059409153705,0.8869892217992049
2.999384,0.3551175555641752,0.3692404423094787,0.17320526040737574,0.8975632582810296
3.001686,0.357788982693447,0.3746374405851195,0.1768068044017795,0.9092332276803459
3.003987,0.3604560589642021,0.3797869233540305,0.17991573452634468,0.9201587168445774
