Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH4_10_0.6_a_V3,H2O_40K,all
2.85208,0.1656483422765393,0.16328020436807536,0.0005917218814106535,0.3295202685260253
2.854382,0.1750846020081033,0.17005828844237542,0.0006141447772817363,0.3457570352277605
2.8566830000000003,0.1836792039436752,0.1770365220962024,0.0006393456596525593,0.3613550716995301
2.858985,0.19392992336384027,0.18400868038336585,0.0006628334951692348,0.3786014372423753
2.861286,0.2029745303489732,0.19144121645547826,0.0006876713299336052,0.395103418134385
2.863588,0.2129503016289669,0.1992173482644514,0.0007132809770168776,0.4128809308704352
2.8658900000000003,0.22316146016565414,0.20656010391809132,0.0007408994875225173,0.4304624635712681
2.868191,0.2339596033109445,0.21451107127882665,0.0007668641144876536,0.4492375387042589
2.870493,0.2447770323869304,0.2225572193839576,0.0007924414906725747,0.4681266932615605
2.872795,0.25574429830908885,0.23049401088914456,0.0008199873916569238,0.4870582965898904
2.875096,0.26710667855498266,0.2384908810202267,0.000848485284142636,0.5064460448593521
2.877398,0.2783296066866169,0.24674696679562025,0.0008765824796404863,0.5259531559618776
2.879699,0.29063254693719764,0.2549561372395564,0.0009057257900932243,0.5464944099668473
2.882001,0.30264867078256363,0.2630947659261213,0.0009349497777918402,0.5666783864864768
2.884303,0.31503023828905663,0.27067412335926955,0.0009630469732896904,0.5866674086216158
2.886604,0.3270255926705967,0.27945539083068993,0.0009917008417841004,0.6074726843430708
2.888906,0.3398482640278682,0.2880608101892376,0.001019534491612082,0.6289286087087179
2.891208,0.3531501165862657,0.2961164088647341,0.0010474757111012343,0.6503140011621009
2.893509,0.36487645696015614,0.30416795729578805,0.001076134958078703,0.6701205492140229
2.895811,0.37827473917203097,0.3122319939805394,0.0011047027708441762,0.6916114359234146
2.898112,0.39157758075251536,0.32048470455223105,0.0011356882117444665,0.713197973516491
2.900414,0.4045847047290026,0.3281916446853137,0.0011635406862631527,0.7339398901005795
2.902716,0.4173930352660133,0.3363295983311383,0.0011890723453420766,0.7549117059424937
2.905017,0.43095697867745175,0.3438289634365497,0.001215854501732112,0.7760017966157337
2.907319,0.4434745367209001,0.35180625738616045,0.0012427280923341427,0.7965235221993947
2.909621,0.45701078751390395,0.3585759034512056,0.0012674018833652278,0.8168540928484749
2.911922,0.4705213237326473,0.36465262019623584,0.001295773381499064,0.8364697173103823
2.9142240000000004,0.4840689482796512,0.3732374508122014,0.0013203422921105074,0.8586267413839631
2.916525,0.4982164147223886,0.380050637005002,0.0013450994496289998,0.8796121511770195
2.918827,0.5123193751712134,0.3871193261180419,0.001370077124952893,0.900808778414208
2.921129,0.5267289324669917,0.39399157837562704,0.0013939522112497837,0.9221144630538683
2.92343,0.5434335155155313,0.40038893947234455,0.0014160389519297075,0.9452384939398056
2.925732,0.558440442151826,0.4069472977856462,0.0014367864503280535,0.9668245263878004
2.928034,0.5753289833085377,0.4129220833788769,0.0014610595443712766,0.9897121262317858
2.930335,0.5899373340437926,0.41843210342234616,0.0014757132214642886,1.0098451506876032
2.932637,0.6032673737316679,0.4251180444355824,0.00150073392465265,1.029886152091903
2.9349380000000003,0.6159985605458967,0.4303857248532499,0.0015233262427400776,1.0479076116418868
2.93724,0.6282807313326517,0.4358812315208006,0.0015439096974051369,1.0657058725508577
2.939542,0.6388474433095964,0.4411863766995602,0.001563559985259539,1.0815973799944159
2.941843,0.6480814480243797,0.4443506301701588,0.0015829332812364262,1.0940150114757752
2.944145,0.6592687713608838,0.450305502061548,0.001599867435146262,1.111174140857578
2.946447,0.6687757461716646,0.4564298091787761,0.0016184742972873054,1.126824029647728
2.948748,0.6788598153701789,0.45852479811659,0.0016371295657758766,1.1390217430525449
2.95105,0.6891184469670397,0.4645795760375575,0.0016550103327040164,1.1553530333373012
2.953351,0.6969391391195754,0.46897409125752504,0.0016726598248606392,1.167585890201961
2.955653,0.7064169377787911,0.4736075708995921,0.001679304940679474,1.1817038136190627
2.957955,0.7123436526348228,0.4767778997368543,0.0017030159832430794,1.19082456835492
2.960256,0.7178173953750325,0.4814171172252147,0.0017213808136464885,1.2009558934138935
2.962558,0.7252627536455716,0.4841888345052741,0.001730093956201335,1.2111816821070471
2.96486,0.7295941758753572,0.4883561985160989,0.001751188366756957,1.2197015627582128
2.967161,0.7350412150192194,0.4913570921275221,0.0017631743162529294,1.2281614814629944
2.969463,0.7387797185078802,0.4936383923096849,0.001781622513143746,1.2341997333307089
2.971764,0.7459115567768569,0.4976143822706078,0.0017958754932488952,1.2453218145407137
2.974066,0.7513200240593282,0.50141789932236,0.0018104350468883827,1.2545483584285766
2.976368,0.7571745403030126,0.50439617906898,0.0018298164105898574,1.2634005357825824
2.978669,0.7623110265115733,0.5078020971246401,0.0018416329378694856,1.2719547565740827
2.980971,0.7693320943068122,0.5113447109302297,0.001858177151757577,1.2825349823887997
2.983273,0.777230424693173,0.5140266477918166,0.0018726802313249493,1.2931297527163146
2.985574,0.7806806282434886,0.5154030558614807,0.001887056916540446,1.2979707410215098
2.987876,0.7892411089170609,0.5196855143185428,0.0019018208525361574,1.3108284440881397
2.990177,0.7977976335022852,0.5232504044685655,0.001916420744798584,1.3229644587156493
2.992479,0.8027882389530212,0.5251968844434928,0.0019310206370610106,1.329916144033575
2.994781,0.8104145882654717,0.5282328801734165,0.0019457038958108441,1.340593172334699
2.997082,0.8186496806724383,0.5304767155944874,0.0019605404413278464,1.3510869367082534
2.999384,0.8242747437919509,0.53339086647077,0.001975465731815315,1.3596410759945363
3.001686,0.8319273021897055,0.5365892094987587,0.0019903264805060804,1.3705068381689702
3.003987,0.8397717308723278,0.5388374326846421,0.002005163026023083,1.3806143265829929
3.006289,0.8464827402433086,0.5407494855818092,0.002015925370623236,1.389248151195741
3.0085900000000003,0.8540438140980207,0.5434837381007767,0.0020304338286736673,1.3995579860274707
3.010892,0.8621592348324666,0.5459061217976819,0.0020448427847875148,1.410110199414936
3.013194,0.8694176679285727,0.5476673030893711,0.002057431124386044,1.4191424021423296
3.015495,0.8785893642518784,0.5502557468084132,0.0020678062182059817,1.4309129172784976
3.0177970000000003,0.8860549974751998,0.5521556489722532,0.002079243562429982,1.440289890009883
3.020098,0.8937243692484325,0.5539904097046452,0.00208939544920299,1.4498041744022805
3.0224,0.9015767101077504,0.5547565809449928,0.0020969253254849557,1.458430216378228
3.024702,0.9068407801655274,0.5547734569635027,0.0021036269153759057,1.4637178640444062
3.027003,0.9106213170928834,0.5554869750260996,0.002110223624847214,1.46821851574383
3.029305,0.918756518269068,0.5586137637356063,0.0021185737197956084,1.47948885572447
3.031607,0.9258072567269152,0.5597906972664839,0.002127152400273991,1.4877251063936732
3.0339080000000003,0.9295744418560974,0.560119442107056,0.00212852660269545,1.4918224105658486
3.03621,0.9345605967074424,0.5603992464939493,0.002133178990541093,1.4970930221919323
3.038511,0.9396253788146992,0.5596337502943424,0.002133106381019802,1.5013922354900613
3.040813,0.9450199997879531,0.5607003146641654,0.0021376969163102726,1.5078580113684288
3.043115,0.9481725076900976,0.5603921585661753,0.0021388210192695087,1.5107034872755425
3.045416,0.9538722419771748,0.5593856728222473,0.002132705684031941,1.5153906204834542
3.047718,0.9564056220528904,0.5585361340504611,0.0021329369588034587,1.5170746930621548
3.05002,0.9597312088202504,0.5575269481435714,0.0021310571789744967,1.5193892141427965
3.052321,0.9624683274458772,0.5563101872090105,0.0021228630600348,1.5209013777149225
3.054623,0.9662721063922765,0.5548024837153396,0.0021191223250675807,1.5231937124326838
3.056924,0.9658661128255848,0.5513607885004388,0.0021106323895596635,1.5193375337155832
3.059226,0.9688376296858175,0.5502658724195192,0.0021076527099452287,1.521211154815282
3.061528,0.9706999582755392,0.548511441535234,0.002097110883150476,1.5213085106939237
3.063829,0.9698380255267648,0.5455399121960179,0.002089747739843325,1.5174676854626263
3.066131,0.9721508536770912,0.5437446413469391,0.0020790203553830524,1.5179745153794133
3.068433,0.9707009472976262,0.5401132596839875,0.0020654638888339843,1.5128796708704475
3.070734,0.9695665389638976,0.537123841765151,0.002057159510991588,1.50874754024004
3.073036,0.968501856687299,0.5338161421372185,0.0020421750571904753,1.5043601738817078
3.075337,0.9668734318211404,0.5306643769203171,0.0020275536509958146,1.4995653623924532
3.077639,0.9647401111795952,0.5273053741961146,0.0020191497712168348,1.4940646351469264
3.079941,0.9596871973373814,0.5226003402355657,0.002005044699395795,1.4842925822723427
3.082242,0.9581126741749612,0.5192433626335844,0.001985157758286817,1.4793411945668324
3.084544,0.953275367147702,0.5152629849078489,0.0019708832642494328,1.4705092353198004
3.086846,0.9491516395561757,0.5114827567616403,0.001953693632394316,1.4625880899502102
3.089147,0.9461573751879424,0.5070298505176288,0.0019370176456712906,1.4551242433512426
3.0914490000000003,0.9403419253166926,0.5027379414902013,0.001920892953461766,1.4450007597603556
3.09375,0.931215229498343,0.4968836506691309,0.0019034747360766608,1.4300023549035503
3.096052,0.9296515855788794,0.4931955655839861,0.001885171758228425,1.424732322921094
3.098354,0.922424306678512,0.4886380280252135,0.0018668660911386602,1.4129292007948642
3.100655,0.9169762785125629,0.4836778286647955,0.0018450133144717828,1.4024991204918305
3.102957,0.9096555370249793,0.4787000782451273,0.0018286196981093308,1.3901842349682159
3.105259,0.9031452991376488,0.4732987397608616,0.0018056266830340415,1.3782496655815444
3.10756,0.8951881219371145,0.4680637988191031,0.0017861592636036305,1.3650380800198212
3.109862,0.888263483795353,0.4626199327681926,0.001760909974885281,1.3526443265384307
3.112163,0.8809115881120304,0.4570366708043906,0.001741507097251572,1.3396897660136726
3.114465,0.8724623724232399,0.4514601592479926,0.001720982805900156,1.3256435144771326
3.116767,0.8651900930179165,0.4456858607546589,0.0016970700702218554,1.3125730238427973
3.119068,0.856700327423561,0.4396601095855285,0.0016773122127062825,1.2980377492217956
3.12137,0.8495264557158888,0.4339350890662436,0.0016524313500774432,1.28511397613221
3.123672,0.8411370758633587,0.4278333958138188,0.0016282496902462152,1.2705987213674237
3.125973,0.8326344529818727,0.4215939942503535,0.0016040330702751064,1.2558324803025014
3.128275,0.8241056210150829,0.41544842334980303,0.0015802628643978571,1.2411343072292838
3.130576,0.8151292565539494,0.4091911332067172,0.0015569390726144676,1.225877328833281
3.132878,0.8066953707075065,0.4027330184433641,0.0015341638861030495,1.2109625530369736
3.13518,0.7976354338800259,0.3963059555540691,0.001506574957254232,1.1954479643913491
3.137481,0.7894522651326241,0.3897907998481526,0.0014835308465898868,1.1807265958273667
3.139783,0.7798315527818445,0.3835736746291203,0.0014563856425933994,1.1648616130535578
3.142085,0.7724351511046093,0.3770284796102563,0.0014303376491408553,1.1508939683640065
3.144386,0.7612651356546265,0.3702470203322543,0.0014062232203478592,1.1329183792072286
3.146688,0.7537149410428711,0.3637433403189246,0.0013783922597614068,1.1188366736215571
3.148989,0.743538398279227,0.3576082325498501,0.001355509503588818,1.102502140332666
3.151291,0.7339285651714037,0.35051051668497346,0.0013277350170744805,1.0857668168734516
3.153593,0.7238207594428026,0.34412631888269346,0.001300570988387288,1.0692476493138834
3.155894,0.7151801679801876,0.3375470343064396,0.0012749774767531915,1.0540021797633805
3.158196,0.705247419160976,0.3308621058543139,0.001246899105946046,1.037356424121236
3.160498,0.6949254901505507,0.3242521069243721,0.0012214266101807669,1.0203990236851035
3.162799,0.6858620917457658,0.3178230189128559,0.0011955399712199792,1.0048806506298418
3.165101,0.6760425859555098,0.3108825875404911,0.001168838492075822,0.9880940119880768
