Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,HNCO_NH3,all
2.85208,0.0538156670419445,0.011619956028938474,0.00033780334833209463,0.06577342641921508
2.854382,0.05725982373387512,0.012601741930686649,0.00035217795889941767,0.07021374362346118
2.8566830000000003,0.06097182733604355,0.013860957816384158,0.0003665525694667409,0.07519933772189445
2.858985,0.06499192675803826,0.015304168717343403,0.00038092718003406413,0.08067702265541572
2.861286,0.06869290982543841,0.016746900464617073,0.00039530179060138723,0.08583511208065688
2.863588,0.07261430358820417,0.018159924683384943,0.0004096764011687104,0.09118390467275783
2.8658900000000003,0.07667129784398835,0.02012445479425244,0.00042405101173603364,0.09721980364997684
2.868191,0.08070050118600902,0.02209090151986225,0.00043842562230335684,0.10322982832817462
2.870493,0.08475701628810763,0.024036744636992232,0.0004528002328706799,0.10924656115797053
2.872795,0.08896158987904966,0.025959109223528915,0.00046717484343800314,0.11538787394601654
2.875096,0.0927536121467095,0.0279495136334176,0.0004815494540053263,0.12118467523413246
2.877398,0.09668171406107336,0.030264784242127783,0.0004959240645726494,0.1274424223677738
2.879699,0.10058969152064294,0.032202960900288534,0.0005102986751399726,0.13330295109607146
2.882001,0.10448041944753177,0.034423359079254374,0.0005241941320217184,0.13942797265880782
2.884303,0.1085311847054034,0.03635626504687377,0.0005385687425890416,0.14542601849486622
2.886604,0.11235914349948158,0.03844920834547603,0.0005524641994707872,0.1513608160444284
2.888906,0.11649040657653024,0.04041996745425603,0.0005668388100381103,0.1574772128408244
2.891208,0.1199149179673522,0.042458766386388035,0.0005807342669198563,0.16295441862066007
2.893509,0.12415015739417122,0.044476482556354634,0.0005951088774871794,0.16922174882801302
2.895811,0.12860676582372696,0.04595275506161872,0.000609004334368925,0.1751685252197146
2.898112,0.1327241334438939,0.04802317813699883,0.0006233789449362482,0.18137069052582894
2.900414,0.13681898084083868,0.04956940708035723,0.0006372744018179941,0.1870256623230139
2.902716,0.14113184316472124,0.05153729126702376,0.0006511698586997397,0.19332030429044472
2.905017,0.1458457571234321,0.053518112603200906,0.0006650653155814856,0.2000289350422145
2.907319,0.1499458752109182,0.056012586690317064,0.0006794399261488086,0.20663790182738406
2.909621,0.15452993852083755,0.05820998549237519,0.0006962103051440188,0.2134361343183568
2.911922,0.15928841377230712,0.0610408254667667,0.0007752706632642962,0.22110450990233813
2.9142240000000004,0.1640674926322565,0.06353961193705304,0.0008615183266682357,0.22846862289597775
2.916525,0.16918102076473893,0.06662440336480059,0.0009477659900721746,0.2367531901196117
2.918827,0.1743314437310108,0.06914762667305137,0.0010335344997905362,0.24451260490385274
2.921129,0.17938364019173936,0.0722587715535057,0.0011178655484521654,0.2527602772936972
2.92343,0.18460018636662093,0.07598802468835493,0.0012031549044849495,0.26179136595946084
2.925732,0.189937479270268,0.07908192003612842,0.0012927566436879304,0.27031215595008434
2.928034,0.19587898497142825,0.08281308978571994,0.0013790043070918696,0.2800710790642401
2.930335,0.20079797670756627,0.08604689800968209,0.0014595021262688796,0.28830437684351723
2.932637,0.20827469081731664,0.08979196321615536,0.0015855195455757461,0.2996521735790477
2.9349380000000003,0.21421332159636336,0.093100040261382,0.0018433042284164078,0.30915666608616177
2.93724,0.22011122431213606,0.09678569041084366,0.00208431853226186,0.3189812332552416
2.939542,0.2269017903441396,0.09999697841158364,0.0023358742171900155,0.3292346429729132
2.941843,0.2332721385938916,0.10388578972373017,0.0025869507484325943,0.33974487906605433
2.944145,0.23957492617397724,0.1071790130047039,0.0028375481259895947,0.3495914873046707
2.946447,0.24557249285635005,0.11049763143101322,0.0030780832761494684,0.35914820756351273
2.948748,0.2512753800220927,0.11388237306593225,0.003338742881103596,0.3684964959691285
2.95105,0.25803815514033274,0.11665619375174005,0.003815979951938725,0.3785103288440115
2.953351,0.2637985407483447,0.11937826583950548,0.004316216399681571,0.3874930229875317
2.955653,0.2678569724651856,0.122039006255517,0.004732600952448366,0.39462857967315096
2.957955,0.2753207494254253,0.12432361102835025,0.0050047602458563505,0.404649120699632
2.960256,0.2800988699780036,0.12658138319479112,0.0052922524572028146,0.4119725056299976
2.962558,0.2849340098191655,0.12910508565672751,0.0052395455517892965,0.4192786410276823
2.96486,0.2918889255653221,0.13132500468200778,0.005152818734699781,0.4283667489820297
2.967161,0.2969080604217457,0.13372987702992095,0.005052675614414096,0.4356906130660808
2.969463,0.30276188099844525,0.13534606241137365,0.00495444910887072,0.4430623925186896
2.971764,0.3076521235134486,0.1377341643802916,0.0048672431380956255,0.4502535310318359
2.974066,0.3125375744915962,0.14012945365449322,0.004768537478866674,0.4574355656249561
2.976368,0.3175313142026843,0.14209350461167514,0.004670310973323299,0.4642951297876828
2.978669,0.32252026237691656,0.14423580073989184,0.004581188387805895,0.4713372515046143
2.980971,0.32747279487104497,0.1465865287213348,0.00448487849700483,0.4785442020893846
2.983273,0.3326471755215958,0.14928033074165115,0.004386651991461455,0.4863141582547084
2.985574,0.3376802058349012,0.15214614893508982,0.004301841789114248,0.4941281965591052
2.987876,0.3422915809048984,0.15497794721685246,0.004202656976199718,0.5014721850979506
2.990177,0.34735192297828177,0.15783034910709498,0.004078077017949585,0.5092603491033263
2.992479,0.35252917855094595,0.16150785364390186,0.003930497682791733,0.5179675298776395
2.994781,0.3570868884081585,0.16437510929839722,0.003784834962376191,0.5252468326689319
2.997082,0.36183578058591664,0.16799176131713572,0.0036396513956462274,0.5334671932986986
2.999384,0.3659751892756201,0.17167357823711274,0.003494467828916264,0.5411432353416491
