Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,HNCO_NH3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.0013332789527728502,0.00033958152518239143,0.0708839103934268,0.07255677087138204
2.854382,0.0013905983875199491,0.0003540318028497272,0.07578833463372059,0.07753296482409026
2.8566830000000003,0.0014455094426558252,0.0003684820805170631,0.08081510455826446,0.08262909608143736
2.858985,0.0015037922292474124,0.00038293235818439886,0.08576625136301595,0.08765297595044777
2.861286,0.0015678551269059347,0.0003973826358517346,0.09150638332840398,0.09347162109116164
2.863588,0.0016381798115536355,0.0004118329135190704,0.09630291216211498,0.09835292488718768
2.8658900000000003,0.0017147662831905155,0.0004262831911864062,0.1010695770886468,0.10321062656302372
2.868191,0.001800986273272286,0.000440733468853742,0.10583672369110092,0.10807844343322696
2.870493,0.00189828480956568,0.0004551837465210777,0.11084759831021072,0.11320106686629748
2.872795,0.0019979917254702973,0.00046963402418841367,0.11504058721334932,0.11750821296300805
2.875096,0.002088546798852268,0.0004840843018557495,0.11986071816725027,0.1224333492679583
2.877398,0.002159353159422214,0.0004985345795230851,0.12408405265349033,0.12674194039243564
2.879699,0.002221489353391758,0.000512984857190421,0.12843069617582492,0.1311651703864071
2.882001,0.0022889239825059915,0.0005269534589355123,0.13257985257003926,0.13539573001148078
2.884303,0.002369845537443072,0.0005414037366028481,0.1364611971514857,0.13937244642553162
2.886604,0.0024584739071360647,0.0005553723383479393,0.1404923429447501,0.1435061891902341
2.888906,0.0025461389249845693,0.0005698226160152752,0.14466943654245465,0.1477853980834545
2.891208,0.0026280238317661388,0.0005837912177603664,0.14850357688352106,0.15171539193304756
2.893509,0.002698830192336084,0.0005982414954277022,0.1522779894102292,0.15557506109799302
2.895811,0.0027571129789276715,0.0006122100971727934,0.15606926059421586,0.15943858367031633
2.898112,0.0028149140895970147,0.0006266603748401294,0.1605719671153577,0.16401354157979486
2.900414,0.002892463913078384,0.0006406289765852206,0.16439310220652353,0.16792619509618714
2.902716,0.0029921708289830005,0.0006545975783303121,0.16888762023698722,0.17253438864430054
2.905017,0.003067793948775391,0.0006685661800754033,0.17285614816035985,0.17659250828921064
2.907319,0.00306442221731968,0.0006830164577427389,0.1771209067759129,0.18086834545097533
