Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,CO_CH3OH_10K,all
2.85208,0.23934817116760365,0.1088640249099175,0.0036068168937991056,0.3518190129713203
2.854382,0.24928398692360826,0.11298935265484165,0.0038804204249748135,0.3661537600034247
2.8566830000000003,0.25951319670128953,0.11762576981695295,0.004183214929639428,0.3813221814478819
2.858985,0.2697335007582453,0.12194702341783654,0.004527569464356052,0.3962080936404379
2.861286,0.28062866054128377,0.1265166476745071,0.00491101021781206,0.4120563184336029
2.863588,0.2920274883075715,0.13122826870052204,0.005329579091907266,0.4285853361000009
2.8658900000000003,0.3027910413287786,0.13630947713664232,0.005779317988541475,0.4448798364539624
2.868191,0.3144461559470537,0.1410864067813104,0.006255279285089451,0.4617878420134535
2.870493,0.3262407935233605,0.14579209066017507,0.006752020596663428,0.478784904780199
2.872795,0.33787512812660964,0.15085994051520718,0.007262120489325552,0.4959971891311424
2.875096,0.34959753041258806,0.15610293621117274,0.007775683717825342,0.5134761503415861
2.877398,0.3616999101161847,0.1612722123300223,0.008285288848224942,0.5312574112944319
2.879699,0.3737335178652906,0.1666339509689936,0.008796378265412111,0.5491638470996963
2.882001,0.38566372030152896,0.17201053247584067,0.009318847214637332,0.5669930999920071
2.884303,0.3967741016687653,0.17717980859469018,0.0098526956959006,0.5838066059593561
2.886604,0.4096463314528491,0.18245150050188214,0.010384565128113777,0.602482397082845
2.888906,0.4222607900981581,0.18757228991900435,0.010898128356613569,0.6207312083737759
2.891208,0.4340692810178156,0.1927128698266275,0.011387448234249684,0.6381695990786928
2.893509,0.4458718347903228,0.1979855512583445,0.011855988096859804,0.6557133741455271
2.895811,0.4576926947665434,0.2032414107731357,0.012305726993494012,0.6732398325331731
2.898112,0.4697901268475149,0.2089420615619359,0.012734191112839695,0.6914663795222905
2.900414,0.4810875283499852,0.21406631431489573,0.01313494854548404,0.7082887912103649
2.902716,0.4930167412616985,0.21876358723529749,0.013506020242376954,0.7252863487393728
2.905017,0.5040098639727166,0.22369092460777285,0.013856806686506386,0.7415575952669958
2.907319,0.5157035700474687,0.22863508389717396,0.014199182172172913,0.7585378361168156
2.909621,0.5256270167469101,0.2331745276558306,0.014536115272951676,0.7733376596756923
2.911922,0.5345347165213902,0.2383942695254576,0.014855731694542103,0.7877847177413899
2.9142240000000004,0.5471189946686851,0.24291441755587576,0.015146157142643625,0.8051795693672046
2.916525,0.5571062656999921,0.24746919894467065,0.015397001609743232,0.8199724662544058
2.918827,0.5674680717640299,0.25206455083899243,0.01559639080154036,0.8351290134045628
2.921129,0.5775419261912788,0.25645705020567944,0.015735418997309566,0.8497343953942678
2.92343,0.5869196501151563,0.2605205326677881,0.015817054770626008,0.8632572375535705
2.925732,0.5965333756382579,0.2643376235231599,0.015846245744114914,0.8767172449055327
2.928034,0.6052916572094557,0.26880334770470043,0.01582793954040154,0.8899229444545576
2.930335,0.6133686511451579,0.2714993072731931,0.01576609425758605,0.9006340526759372
2.932637,0.6231693968034937,0.2761025753637153,0.015664667993768654,0.9149366401609778
2.9349380000000003,0.6308911514347039,0.2802590731311785,0.015531082182887204,0.9266813067487696
2.93724,0.6389468705931177,0.2840459834885363,0.015376716356979753,0.9383695704386338
2.939542,0.6467235438354682,0.28766121134079825,0.015212455285821824,0.9495972104620882
2.941843,0.6513619400466295,0.2912254786800204,0.0150462151656138,0.9576336338922636
2.944145,0.6600910306443384,0.2943409966471332,0.014884922668031013,0.9693169499595026
2.946447,0.6690684918978342,0.2977642567415359,0.014731546366648609,0.9815642950060188
2.948748,0.6721394812613201,0.3011964225566641,0.014574211967166016,0.9879101157851502
2.95105,0.6810150214887359,0.3044860968401854,0.014401045175282656,0.999902163504204
2.953351,0.6874568261467969,0.30773322156912963,0.014211551228736009,1.0094015989446623
2.955653,0.6942489224867248,0.3089557791198261,0.0140270049048146,1.0172317065113654
2.957955,0.6988962244186115,0.31331809798849924,0.013867691456281913,1.0260820138633926
2.960256,0.7056967317170024,0.3166968294792749,0.013735589932188036,1.0361291511284654
2.962558,0.7097597194168485,0.3182998592098522,0.013618331275969876,1.0416779099026705
2.96486,0.7158685490722309,0.32218077439708953,0.01350453595558938,1.05155385942491
2.967161,0.7202674803483308,0.3243859298011585,0.013388761586158792,1.0580421717356479
2.969463,0.7236115784807297,0.3277799989220723,0.013266555307315393,1.0646581327101174
2.971764,0.7294398779332609,0.3304022389134489,0.013137917119059185,1.0729800339657691
2.974066,0.7350153538696426,0.3330808818027532,0.01301026845532802,1.0811065041277237
2.976368,0.7393811360741533,0.3366466334287629,0.012892515036847336,1.0889202845397636
2.978669,0.7443737820652818,0.33882061881029274,0.012781688290041986,1.0959760891656165
2.980971,0.7495668067727325,0.3418643962493397,0.012665419158348876,1.104096622180421
2.983273,0.7534981877107473,0.3445326491311311,0.012531338585204905,1.1105621754270831
2.985574,0.7555158282173197,0.3471776481865837,0.012376972759297451,1.1150704491632009
2.987876,0.7617933718042227,0.34989389300783985,0.012203311205151569,1.1238905760172142
2.990177,0.7670190508210001,0.35257995733108194,0.012013322496342398,1.1316123306484245
2.992479,0.7698723447889753,0.3552660216543241,0.01181492282907032,1.1369532892723695
2.994781,0.7743227313403775,0.3579674236077045,0.011616028399535721,1.1439061833476178
2.997082,0.7776119108616363,0.3606970270100488,0.011420102543576262,1.1497290404152614
2.999384,0.7818836882362675,0.3634429575670564,0.01121972382725409,1.1565463696305778
3.001686,0.7865720554359438,0.3661770138297633,0.011007965578893868,1.163757034844601
