Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_CH3OH_10K,CH3OH,all
2.85208,0.16689081873714254,0.003632025376876322,0.012082338465655377,0.18260518257967426
2.854382,0.17639785690470824,0.003907541156493964,0.01310319168886794,0.19340858975007014
2.8566830000000003,0.18505692426411985,0.0042124519288737035,0.014412514417322116,0.20368189061031566
2.858985,0.1953845311279428,0.004559213199423214,0.015913153708838095,0.2158568980362041
2.861286,0.20449697888419352,0.004945333867060957,0.017413294780137766,0.22685560753139225
2.863588,0.21454757530774987,0.005366828170056482,0.018882546198026418,0.2387969496758328
2.8658900000000003,0.22483532455426836,0.005819710346679332,0.02092524908488416,0.2515802839858318
2.868191,0.2357144611975429,0.00629899819476644,0.02296994485260713,0.26498340424491645
2.870493,0.2466130284292533,0.006799211291938431,0.0249932171510289,0.2784054568722207
2.872795,0.2576625563865048,0.007312876334950706,0.026992076658851644,0.29196750938030713
2.875096,0.2691101622965853,0.007830028919477131,0.02906168343738995,0.3060018746534525
2.877398,0.2804172701056674,0.008343195742273098,0.031469083522584235,0.3202295493705248
2.879699,0.29281249086716343,0.008857857225717988,0.03348438429754511,0.3351547323904265
2.882001,0.3049187439032015,0.00938397777413793,0.03579313677991066,0.35009585845725005
2.884303,0.3173931816790903,0.009921557387532932,0.03780295713249216,0.3651176961991154
2.886604,0.3294785094660435,0.010457144120062704,0.039979183037320114,0.3799148366234264
2.888906,0.342397359674878,0.01097429670458913,0.042028362786989834,0.39540001916645695
2.891208,0.3557989852733137,0.01146703649851652,0.044148289807375125,0.4114143115792053
2.893509,0.367613281262596,0.011938851043359028,0.04624629513824292,0.4257984274441979
2.895811,0.3811120598032116,0.012391733219981877,0.04778131162468406,0.4412851046478775
2.898112,0.39451468184207983,0.012823191927303535,0.049934121179345585,0.457271994948729
2.900414,0.4076193681915967,0.01322675030251202,0.051541877817367535,0.4723879963114762
2.902716,0.4205237700141583,0.013600415464742091,0.05358806824573941,0.4877122537246398
2.905017,0.4341894523272365,0.013953653598103587,0.05564771061995159,0.5037908165452917
2.907319,0.4468009006626097,0.014298421987787873,0.05824144506604461,0.5193407677164421
2.909621,0.4604386826435747,0.014637709955092774,0.060526282978027424,0.5356026755766949
2.911922,0.4740505571732919,0.014959560214826946,0.0634697680159678,0.5524798854040867
2.9142240000000004,0.487699798219232,0.015252015481799018,0.06606798644400759,0.5690198001450386
2.916525,0.5019533803875523,0.015504613131466546,0.06927552819659055,0.5867335217156094
2.918827,0.516162122736405,0.015705395878638177,0.07189915585566198,0.6037666744707052
2.921129,0.5306797616193678,0.015845395759420376,0.0751340997201418,0.62165925709893
2.92343,0.5475096405262103,0.01592760209511099,0.07901174766365736,0.6424489902849787
2.925732,0.5626291294304718,0.015956997087873088,0.08222875560035015,0.6608148821186951
2.928034,0.5796443462577804,0.015938562939869744,0.08610839642473092,0.681691305622381
2.930335,0.5943622696676986,0.015876285412831398,0.08947088466458529,0.6997094397451152
2.932637,0.6077922938184638,0.01577415026848851,0.09336497387523897,0.7169314179621913
2.9349380000000003,0.6206189732872814,0.015639630810085684,0.09680468624862087,0.7330632903459879
2.93724,0.6329932687996926,0.015484186102597972,0.10063699615245253,0.7491144510547432
2.939542,0.6436392383817355,0.015318776990784128,0.10397606804214046,0.7629340834146601
2.941843,0.6529425044808319,0.015151374998105054,0.10801962331768618,0.7761135027966232
2.944145,0.6642137404343398,0.014988955207589047,0.1114438908643626,0.7906465865062914
2.946447,0.6737920240928373,0.014834506940533947,0.11489456408250324,0.8035210951158744
