Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,all
2.85208,0.0013263936036270315,0.00015046517035364446,0.2318141167864983,0.23329097556047895
2.854382,0.0013834170280604189,0.00016244488136906202,0.2414371790509629,0.2429830409603924
2.8566830000000003,0.0014380445102907232,0.00017154946174077938,0.25134440006071324,0.2529539940327447
2.858985,0.0014960263116053439,0.0001739454039438629,0.26124299567853243,0.26291296739408165
2.861286,0.0015597583742073652,0.0001729870270626295,0.27179520432935284,0.27352794973062283
2.863588,0.001629719886537404,0.00017154946174077938,0.28283522681272105,0.28463649616099923
2.8658900000000003,0.0017059108485954597,0.00017250783862201276,0.29325997133833737,0.2951383900255549
2.868191,0.0017916855794658491,0.000175382969265713,0.304548213433945,0.3065152819826766
2.870493,0.001888481644470423,0.0001787372883500299,0.3159715866698066,0.3180388056026271
2.872795,0.00198767365167808,0.0001811332305531134,0.3272397028509083,0.3294085097331395
2.875096,0.0020777610785140204,0.00018065404211249669,0.3385931145744399,0.34085152969506644
2.877398,0.002148201779284676,0.00017634134614694642,0.350314543020365,0.35263908614579664
2.879699,0.00221001708812423,0.00017107027330016267,0.3619693642730445,0.3643504516344689
2.882001,0.0022771034698105684,0.00017154946174077938,0.373524035141635,0.3759726880731864
2.884303,0.0023576071278341745,0.00017921647679064662,0.3842846907641237,0.3868215143687485
2.886604,0.002445777800907648,0.00018784186872174724,0.3967517364236484,0.39938535609327774
2.888906,0.0025329900970998873,0.00019215456468729756,0.4089691249056119,0.4116942695673991
2.891208,0.0026144521320047268,0.00019407131844976437,0.4204059154178108,0.4232144388682653
2.893509,0.002684892832775382,0.00020461346414333182,0.4318369556687221,0.4347264619656408
2.895811,0.0027428746340900033,0.00023096882837725044,0.4432857258919363,0.4462595693544036
2.898112,0.002800377246964007,0.0002587617579330192,0.4550023624534553,0.4580615014583523
2.900414,0.0028775265859032964,0.00026307445389856947,0.4659441513064971,0.469084752346299
2.902716,0.0029767185931109533,0.00024007340874896771,0.4774978637982064,0.4807146558000663
2.905017,0.0030519511782877763,0.0002496571775613018,0.4881449517602689,0.491446560116118
2.907319,0.0030485968592034586,0.0003622664611062268,0.4994705705542447,0.5028814338745544
2.909621,0.00298007291219527,0.0005635256061652416,0.5090816531076939,0.5126252516260544
2.911922,0.002953238359520735,0.0007221369800093702,0.517708961792557,0.5213843371320871
2.9142240000000004,0.003071118715912444,0.0007144699649595027,0.5298971197796427,0.5336827084605147
2.916525,0.0033279637200829965,0.0005975479854490275,0.5395700176419315,0.5434955293474635
2.918827,0.00364422809089002,0.0005481915760655072,0.5496056611537672,0.5537980808207227
2.921129,0.0039624092154595105,0.0007144699649595027,0.5593624169931638,0.5640392961735828
2.92343,0.004334738633818688,0.001097820717452865,0.5684449546966128,0.5738775140478843
2.925732,0.004846991076837942,0.0016536793085682386,0.5777560652862359,0.5842567356716422
2.928034,0.0055763158834565615,0.0023451482283781398,0.5862386590620328,0.5941601231738675
2.930335,0.006583569985632871,0.0031444345473267995,0.5940614103551004,0.60378941488806
2.932637,0.007925297619359636,0.004024703712739682,0.6035536541752767,0.6155036555073761
2.9349380000000003,0.009604853103721176,0.004938516068995732,0.6110323481679816,0.6255757173406985
2.93724,0.011570004898690272,0.005820222799730463,0.6188344943581027,0.6362247220565234
2.939542,0.0137570209416649,0.006609925349866788,0.6263663782677161,0.6467333245592477
2.941843,0.016016394439172653,0.007299956704354841,0.6308587698984975,0.654175121042025
2.944145,0.018159325145610545,0.007909484400819284,0.639313091556298,0.6653819011027279
2.946447,0.020033431136862463,0.008491219167727961,0.6480079658112882,0.6765326161158786
2.948748,0.021598460583916616,0.0092181480321435,0.6509822884621961,0.6817988970782562
2.95105,0.022839558645113868,0.010281946370312578,0.6595784498984191,0.6926999549138455
2.953351,0.02377301772743521,0.011771264043749287,0.6658174833952485,0.701361765166433
2.955653,0.024464965835685727,0.013621889801410991,0.6723957823080345,0.7104826379451312
2.957955,0.024982968539992385,0.015744215404902367,0.6768967993307473,0.7176239832756421
2.960256,0.025350985262386008,0.017876124777206067,0.6834832444470239,0.7267103544866159
2.962558,0.02556709924910414,0.019637621484913072,0.6874183399213682,0.7326230606553854
