Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,H2O_40K,all
2.85208,0.00015637222498754772,0.2409148186269937,0.10957659165823276,0.3506477825102141
2.854382,0.00016882224290056902,0.2509156690161655,0.11372892163258362,0.3648134128916497
2.8566830000000003,0.00017828425651446523,0.2612118338302341,0.11839568634710056,0.3797858044338491
2.858985,0.00018077426009706948,0.2714990346314053,0.12274522460519367,0.3944250334966961
2.861286,0.00017977825866402782,0.2824655084099111,0.12734475922298025,0.4099900458915554
2.863588,0.00017828425651446523,0.293938946917835,0.13208722004640833,0.4262044512207578
2.8658900000000003,0.00017928025794750695,0.3047729525057461,0.1372016874050775,0.4421539201687712
2.868191,0.00018226826224663204,0.31650435538482785,0.1420098843230863,0.4586965079701608
2.870493,0.00018575426726227806,0.3283761944659685,0.14674636913791614,0.4753083178711469
2.872795,0.00018824427084488226,0.3400866813149563,0.15184739047723922,0.4921223160630404
2.875096,0.00018774627012836144,0.3518858122914849,0.1571247040702107,0.509198262631824
2.877398,0.00018326426367967376,0.36406740781830144,0.1623278155564206,0.5265784876384016
2.879699,0.0001777862557979444,0.3761797812455217,0.16772464932135706,0.5440822168226767
2.882001,0.00017828425651446523,0.3881880725229889,0.17313642310778918,0.5615027798872926
2.884303,0.00018625226797879888,0.3993711766131812,0.17833953459399904,0.5778969634751591
2.886604,0.00019521628087617424,0.4123276612549042,0.18364573222852876,0.5961686097643091
2.888906,0.0001996982873248619,0.4250246875233199,0.18880003964451955,0.6140244254551643
2.891208,0.00020169029019094528,0.4369104706245232,0.19397426708917126,0.6310864280038854
2.893509,0.00021264630595440402,0.448790277717128,0.19928146072513392,0.6482843847482164
2.895811,0.000240036345363051,0.4606885108362442,0.20457172233673496,0.6655002695183423
2.898112,0.0002689203869212604,0.4728651263558956,0.21030968659248825,0.6834437333353052
2.900414,0.0002734023933699481,0.4842364747169328,0.21546748001349467,0.6999773571237974
2.902716,0.0002494983589769471,0.49624376999296704,0.22019549881614367,0.7166887671680876
2.905017,0.0002594583733073642,0.5073088479133439,0.22515508795197486,0.7327233942386259
2.907319,0.0003764885416897645,0.5190790948483143,0.2301316091121677,0.7495871925021718
2.909621,0.0005856488426285226,0.529067495219573,0.2347007656862465,0.7643539097484481
2.911922,0.0007504870797969249,0.5380335001198143,0.2399546732455415,0.7787386604451528
2.9142240000000004,0.0007425190683325912,0.5507001483445222,0.24450440779167604,0.7959470752045308
2.916525,0.0006210068935015033,0.5607527908082122,0.24908900238796705,0.8104628000896807
2.918827,0.0005697128196998554,0.5711824198143084,0.2537144330430127,0.8254665656770209
2.921129,0.0007425190683325912,0.5813222124033895,0.2581356834042848,0.8402004148760069
2.92343,0.0011409196415492733,0.5907613179843257,0.2622257632890705,0.8541280009149456
2.925732,0.0017186004727134624,0.6004379699070425,0.266067838817029,0.8682244091967849
2.928034,0.0024372155066530524,0.6092535785908945,0.2705627932843461,0.8822535873818937
2.930335,0.003267880701809835,0.6173834402880974,0.2732763991886683,0.8939277201785756
2.932637,0.004182708018058641,0.627248336481659,0.27790979785517833,0.9093408423548961
2.9349380000000003,0.005132395384463907,0.6350206336644001,0.28209350187466997,0.922246530923534
2.93724,0.006048716702862275,0.6431290813307924,0.2859051993589206,0.9350829973925752
2.939542,0.00686942188368864,0.6509566565930672,0.28954409059453845,0.9473701690712945
2.941843,0.0075865429154786685,0.6556254133104502,0.29313168775635473,0.9563436439822836
2.944145,0.008219999826893193,0.6644116399520277,0.2962675982682865,0.9688992380472072
2.946447,0.008824572696749508,0.6734478629532985,0.29971326522589425,0.9819857008759424
2.948748,0.009580039783711641,0.6765389534007435,0.30316789619639944,0.9892868893808546
2.95105,0.010685601374387937,0.685472588254411,0.3064791029605465,1.0026372925893454
2.953351,0.012233387601334744,0.6919565575835126,0.3097474816630729,1.0139374268479202
2.955653,0.014156666368538275,0.6987931114199109,0.3109780414335959,1.0239278192220451
2.957955,0.016362311542009133,0.7034708321501911,0.31536891375116033,1.0352020574433607
2.960256,0.01857791672981041,0.7103158519987703,0.3187697606442812,1.0476635293728622
2.962558,0.02040856736374106,0.7144054338828395,0.3203832829658088,1.0551972842123891
2.96486,0.021508152945819103,0.7205542487297225,0.3242896005861983,1.06635200226174
2.967161,0.0217969933614012,0.7249819731003094,0.3265091897797318,1.0732881562414425
2.969463,0.021278574615502987,0.7283479599432738,0.32992547469506484,1.0795520092538418
2.971764,0.020032576822767816,0.7342144083838895,0.3325648784926253,1.0868118636992827
2.974066,0.0183080003414561,0.739826378458363,0.3352610543718693,1.0933954331716884
2.976368,0.01637127555490651,0.744220736780943,0.3388501455358351,1.0994421578716846
2.978669,0.014390726705303081,0.7492460620113549,0.3410383606842277,1.1046751494008855
2.980971,0.012434579890809169,0.7544730775319578,0.34410206109226393,1.111009718515031
2.983273,0.01056707720385597,0.7584301912254324,0.34678777895646096,1.1157850473857494
2.985574,0.008860428748339009,0.7604610381474045,0.3494500907869814,1.118771557682725
2.987876,0.007390330633169453,0.7667796712386211,0.3521841147206809,1.1263541165924713
2.990177,0.006211562937164594,0.7720395548065143,0.35488776061067256,1.1331388783543517
2.992479,0.005306197634529684,0.7749115249386901,0.3575914065006643,1.137809129073884
2.994781,0.004641366677974346,0.7793910413837951,0.3603104904128681,1.1443428984746375
2.997082,0.0041797200137595174,0.7827017501472258,0.3630579603659137,1.149939430526899
2.999384,0.003877433578831358,0.7870014883336668,0.3658218643426045,1.1567007862551026
3.001686,0.003690683310136039,0.7917205431234184,0.3685738163020986,1.163985042735653
3.003987,0.003591083166831868,0.7950377258961638,0.37132128625514416,1.16995009531814
3.006289,0.0035587131202580134,0.7978588999552544,0.3733142851226606,1.1747318981981731
3.0085900000000003,0.003585605158950138,0.8018932037597899,0.37600099898829065,1.1814798079070306
3.010892,0.0037101053380803523,0.8054673549022601,0.3786692868274094,1.1878467470677498
3.013194,0.003985997735032904,0.8080659226410659,0.3810004281814435,1.1930523485575424
3.015495,0.0044147763519573596,0.8118850901360642,0.3829217149457809,1.1992215814338023
