Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH3OH_CO_NH3_120K_NASA,HNCO_NH3,all
2.85208,0.0013744893611900408,0.055771097584067286,0.0003500776732799779,0.057495664618537314
2.854382,0.001433580486183399,0.059340400159296335,0.000364974595547211,0.061138955241026936
2.8566830000000003,0.0014901887907988846,0.06318728205277149,0.00037987151781444415,0.06505734236138483
2.858985,0.0015502730439433913,0.06735345464684102,0.0003947684400816772,0.06929849613086611
2.861286,0.0016163160659947912,0.07118891556657797,0.0004096653623489103,0.07321489699492167
2.863588,0.0016888144210286593,0.07525279596107917,0.00042456228461614333,0.07736617266672396
2.8658900000000003,0.001767768109044995,0.07945720398896793,0.0004394592068833765,0.0816644313048963
2.868191,0.001856653078572819,0.08363281130047336,0.0004543561291506097,0.08594382050819678
2.870493,0.0019569590218388552,0.08783672276428654,0.0004692530514178426,0.09026293483754323
2.872795,0.0020597477854827637,0.09219407252745224,0.0004841499736850758,0.09473797028662008
2.875096,0.002153101831690757,0.09612388062154832,0.0004990468959523089,0.0987760293491914
2.877398,0.0022260967508002,0.10019471291310757,0.0005139438182195419,0.10293475348212727
2.879699,0.002290153516549302,0.10424468951349264,0.0005288407404867751,0.10706368377052873
2.882001,0.0023596724871297234,0.10827678980715708,0.0005432410986784338,0.11117970339296523
2.884303,0.0024430952518262284,0.11247474250206337,0.0005581380209456669,0.11547597577483525
2.886604,0.002534463041731925,0.11644179290182753,0.0005725383791373255,0.1195487943226968
2.888906,0.0026248377034864727,0.12072316836143035,0.0005874353014045586,0.12393544136632136
2.891208,0.0027092535963341266,0.12427211180956085,0.0006018356595962173,0.12758320106549115
2.893509,0.002782248515443569,0.1286612416735633,0.0006167325818634504,0.13206022277087032
2.895811,0.0028423327685880764,0.1332797841404811,0.000631132940055109,0.1367532498491243
2.898112,0.002901920457657008,0.13754675924189225,0.0006460298623223423,0.1410947095618716
2.900414,0.002981867273824493,0.14179039583175138,0.0006604302205140009,0.14543269332608988
2.902716,0.003084656037468401,0.1462599690759969,0.0006748305787056595,0.15001945569217096
2.905017,0.003162616597333587,0.15114516645149825,0.0006892309368973183,0.15499701398572913
2.907319,0.003159140648804566,0.15539426524618866,0.0007041278591645513,0.15925753375415774
2.909621,0.0030881319859974213,0.1601448937572093,0.0007215076018096565,0.1639545333450164
2.911922,0.0030603243977652536,0.16507627159173902,0.0008034406742794385,0.16894003666378368
2.9142240000000004,0.003182479160356565,0.17002900168151847,0.0008928222078828373,0.17410430304975788
2.916525,0.003448637504864463,0.17532833349604882,0.000982203741486236,0.17975917474239952
2.918827,0.0037763697947435907,0.18066590074439845,0.00107108871101406,0.18551335925015608
2.921129,0.004106088340925017,0.18590167235725533,0.001158483988315161,0.1911662446864955
2.92343,0.004491918627646354,0.1913077654480342,0.0012468723937674106,0.197046556469448
2.925732,0.005022745624435427,0.19683899268585786,0.00133972987589983,0.2032014681861931
2.928034,0.005778516147459721,0.20299638722298088,0.001429111409503229,0.21020401477994385
2.930335,0.006822293834317186,0.20809411402282807,0.0015125341741997346,0.216428942031345
2.932637,0.008212673245925608,0.2158424998580916,0.0016431305260758114,0.225698303630093
2.9349380000000003,0.00995313033081401,0.2219969150107611,0.0019102819987348574,0.23386032734031
2.93724,0.011989539604744774,0.22810912221700685,0.0021600537287487995,0.24225871555050044
2.939542,0.014255858045666503,0.23514642829604784,0.0024207498684253787,0.2518230362101397
2.941843,0.016597157661999973,0.2417482476808099,0.002680949444026384,0.2610263547868362
2.944145,0.018817792207968854,0.2482800515309161,0.0029406524555518143,0.2700384961944367
2.946447,0.020759854307540473,0.2544955440648813,0.003189927621490181,0.2784453259939119
2.948748,0.022381632578366586,0.26040564969236824,0.0034600584786026755,0.2862473407493375
2.95105,0.02366773353410437,0.26741415505502586,0.003954636297874814,0.29503652488700505
2.953351,0.02463504035332338,0.2733838483715817,0.004473049192774526,0.3024919379176796
2.955653,0.02535207887845287,0.2775897460916972,0.0049045633744487106,0.3078463883445988
2.957955,0.025888864644148836,0.28532472469692016,0.005186611769374992,0.31640020111044403
2.960256,0.026270225854189998,0.2902764616585485,0.005484550214719654,0.3220312377274581
2.962558,0.026494176252274067,0.2952872897451701,0.0054299281664064655,0.32721139416385064
2.96486,0.02655177768504071,0.3024949173021331,0.005340050068727493,0.3343867450559013
2.967161,0.026409263795350843,0.3076964259937753,0.005236268176932435,0.33934195796605865
2.969463,0.026026412893082957,0.3137629493050681,0.005134472541439675,0.3449238347395908
2.971764,0.02538137615891176,0.3188308822603809,0.0050440978796851286,0.34925635629897783
2.974066,0.024495505848086963,0.32389384957493783,0.004941805680116794,0.3533311611031416
2.976368,0.02339809924106746,0.32906904037057466,0.004840010044624035,0.3573071496562661
2.978669,0.022147750898771024,0.3342392655254557,0.0047476491265671895,0.3611346655507939
2.980971,0.020837318303330087,0.33937175181059304,0.004647839747376728,0.36485690986129976
2.983273,0.01955717611649919,0.3447341472627214,0.004546044111883968,0.3688373674911046
2.985574,0.018367905155498413,0.3499500563125553,0.004458152270507293,0.37277611373856095
2.987876,0.017318168699734054,0.3547289889758836,0.004355363506863385,0.3764025211824811
2.990177,0.01644024341411845,0.35997320217802525,0.004226256847214031,0.3806397024393577
2.992479,0.01572022550453552,0.36533857701460704,0.004073315111937105,0.3851321176310796
2.994781,0.015132293639055385,0.37006189450147103,0.003922359632962475,0.3891165477734889
2.997082,0.014652116177974904,0.3749833410544894,0.003771900718063421,0.3934073579505277
2.999384,0.014256354609742082,0.3792731581033769,0.003621441803164368,0.39715095451628335
