Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,all
2.85208,0.00014504130950968331,0.22345784730459373,0.0033673603386165326,0.22697024895272
2.854382,0.00015658918447064536,0.2327340243032353,0.0036227993327530143,0.23651341282045896
2.8566830000000003,0.00016536556944097652,0.24228411689595095,0.003905491311797364,0.2463549737771893
2.858985,0.00016767514443316893,0.2518258950186946,0.004226984150710548,0.25622055431383833
2.861286,0.00016675131443629198,0.2619977251993085,0.004584968274500371,0.26674944478824514
2.863588,0.00016536556944097652,0.2726397848483327,0.004975748363179327,0.27778089878095297
2.8658900000000003,0.0001662893994378535,0.28268874563936186,0.005395629096759907,0.2882506641355596
2.868191,0.00016906088942848438,0.2935700772575771,0.005839991325257727,0.2995791294722633
2.870493,0.00017229429441755376,0.3045816689053521,0.0063037539836899616,0.3110577171834597
2.872795,0.00017460386940974614,0.31544360009363304,0.006779988347080036,0.32239819231012284
2.875096,0.00017414195441130766,0.326387752151636,0.007259456115459181,0.3338213502215065
2.877398,0.00016998471942536133,0.3376866549284397,0.007735228563850819,0.3455918682117159
2.879699,0.00016490365444253805,0.34892135152046044,0.008212386757237771,0.3572986419321408
2.882001,0.00016536556944097652,0.36005950787780755,0.008700168995588807,0.3689250424428373
2.884303,0.00017275620941599224,0.3704322710827421,0.009198575278903926,0.3798036025710621
2.886604,0.00018107067938788492,0.3824499135971161,0.009695133902225294,0.3923261181787293
2.888906,0.00018522791437383126,0.3942268983973036,0.010174601670604442,0.4045867279822819
2.891208,0.0001870755743675852,0.4052514236650349,0.0106314356040601,0.4160699348434626
2.893509,0.00019723770433323172,0.4162704059527849,0.01106886910758134,0.4275365127646994
2.895811,0.0002226430292473483,0.4273064790954771,0.01148874984116192,0.4390178719658864
2.898112,0.00024943409915678016,0.4386007627222964,0.011888768229809644,0.4507389650512628
2.900414,0.00025359133414272657,0.4491481297966407,0.01226291937854482,0.4616646405093282
2.902716,0.00023141941421767935,0.4602853623239909,0.01260935562737368,0.4731261373655822
2.905017,0.00024065771418644902,0.4705486516742956,0.012936853361266562,0.4837261627497486
2.907319,0.00034920773881949227,0.4814660126623891,0.013256498540185992,0.4950717189413946
2.909621,0.0005432120381636547,0.4907306417860697,0.013571062654122598,0.5048449164783559
2.911922,0.0006961059026467923,0.4990469594179561,0.013869459743113858,0.5136125250637168
2.9142240000000004,0.0006887152626717765,0.5107957674032388,0.014140603847197245,0.5256250865131079
