Wavelength,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.2358563908594601,0.003554198099415137,0.07174750980905772,0.3111580987679329
2.854382,0.24564725591192305,0.003823810108876944,0.07671168608453716,0.3261827521053371
2.8566830000000003,0.2557272347466841,0.004122187233272287,0.08179969861752702,0.3416491205974834
2.858985,0.26579843778366874,0.004461518080623857,0.08681116669213447,0.35707112255642703
2.861286,0.2765346512743712,0.0048393649293271114,0.09262123236438828,0.3739952485680865
2.863588,0.2877671848837574,0.005251827424814794,0.09747619871198444,0.3904952110205566
2.8658900000000003,0.2983737115850985,0.0056950052125196455,0.10230093731168433,0.4063696541093024
2.868191,0.30985879315271464,0.006164022849232589,0.10712616345570512,0.4231489794576523
2.870493,0.3214813622188268,0.006653517347423644,0.11219808702610506,0.4403329665923555
2.872795,0.3329459669249649,0.0071561755422792014,0.11644216033960422,0.4565443028068483
2.875096,0.34449735452022456,0.007662246547381109,0.1213210163589248,0.4734806174265305
2.877398,0.3564231761539411,0.008164417197915759,0.12559580496464115,0.4901833983164981
2.879699,0.3682812291270516,0.008668050481413128,0.12999540491650974,0.5069446845249744
2.882001,0.3800373853370923,0.00918289728429137,0.13419511169680629,0.52341539431819
2.884303,0.3909856806073895,0.00970895760655048,0.13812374383467838,0.5388183820486183
2.886604,0.403670121204438,0.010233067751525965,0.1422040022563526,0.5561071912123166
2.888906,0.4161005512102937,0.010739138756627877,0.1464319866072618,0.5732716765741834
2.891208,0.4277367715173913,0.01122132009000532,0.1503128394016849,0.5892709310090816
2.893509,0.4393671412926379,0.011683024561904651,0.15413323670031553,0.6051834025548581
2.895811,0.4510155502077581,0.012126202349609502,0.15797069805017785,0.6211124506075455
2.898112,0.4629364963982656,0.012548415731515331,0.16252826236202048,0.6380131744918014
2.900414,0.4740690834218658,0.01294332663145035,0.1663959514597791,0.6534083615130952
2.902716,0.4858242645432647,0.01330898487213092,0.1709452275181663,0.6700784769335619
2.905017,0.4966570118095068,0.013654653795654285,0.17496210517812255,0.6852737707832837
2.907319,0.5081801218341538,0.013992034465722223,0.1792788225954369,0.7014509788953129
2.909621,0.5179587982785941,0.01432405214826018,0.1836374688243493,0.7159203192512036
2.911922,0.5267365462322113,0.014639005779566375,0.18831253131753065,0.7296880833293082
2.9142240000000004,0.5391372360344917,0.014925194295939038,0.1930855902192143,0.747148020549645
2.916525,0.5489788056963291,0.0151723792666391,0.1982715991607066,0.7624227841236747
2.918827,0.5591894464090933,0.015368859627964797,0.2032645405511196,0.7778228465881776
2.921129,0.5691163363270895,0.015505859582139781,0.20810000512587945,0.7927222010351087
2.92343,0.5783572513855688,0.015586304395089503,0.21315242692344308,0.8070959827041013
2.925732,0.5878307250851209,0.01561506951002304,0.21856173116391092,0.8220075257590549
2.928034,0.5964612346538242,0.015597030370149471,0.22435717050653756,0.8364154355305111
2.930335,0.604420395692638,0.01553608733003604,0.2288615924874013,0.8488180755100753
2.932637,0.6140781611454932,0.015436140744250018,0.2358880812403191,0.8654023831300623
2.9349380000000003,0.6216872653618953,0.015304503777605012,0.24147095125902998,0.8784627203985305
2.93724,0.62962546199491,0.015152389949481896,0.2471625436613033,0.8919403956056952
2.939542,0.6372886836309329,0.01499052523494063,0.2531876163790773,0.9054668252449508
2.941843,0.6418594116394399,0.014826710343115737,0.2592268278821576,0.9159129498647134
2.944145,0.6504611560932098,0.014667770894499915,0.2649671747165216,0.9300961017042312
2.946447,0.6593076477960751,0.014516632155018612,0.2705607707102925,0.9443850506613862
2.948748,0.6623338353959475,0.01436159306097005,0.2767452704210032,0.9534406988779208
2.95105,0.6710798929687057,0.014190952548652453,0.28250316885091986,0.9677740143682779
2.953351,0.6774277200269205,0.014004223073744907,0.28818354773381233,0.979615490834478
2.955653,0.6841207284643376,0.013822369042046437,0.2920829272124299,0.9900260247188141
2.957955,0.6887002322706209,0.013665379770714248,0.2986033449602458,1.0009689570015812
2.960256,0.6954015289614937,0.013535205437031964,0.30373182367187107,1.012668558070397
2.962558,0.6994052429247855,0.013419657432976904,0.3073069861770852,1.0201318865348474
2.96486,0.7054249526550295,0.013307522239168196,0.3137138060981297,1.0324462809923274
2.967161,0.7097597092122173,0.013193436868075859,0.31908264415996224,1.0420357902402553
2.969463,0.7130550212772306,0.013073013420811722,0.32389665678460217,1.0500246914826443
2.971764,0.7187982933775201,0.012946251897375794,0.3290509753452355,1.0607955206201314
2.974066,0.7242924303298258,0.012820465462581676,0.3342715999335122,1.0713844957259195
2.976368,0.7285945214175129,0.012704429914205707,0.33841085121801623,1.079709802549735
2.978669,0.7335143311597898,0.012595219986322443,0.3427958248402576,1.0889053759863698
2.980971,0.7386315963520342,0.0124806470709092,0.34818270204196383,1.0992949454649072
2.983273,0.7425056235259646,0.012348522559943287,0.35255158670161524,1.107405732787523
2.985574,0.7444938292666251,0.012196408731820171,0.3574670085450039,1.1141572465434493
2.987876,0.7506797916102985,0.012025280675181663,0.3621250069869535,1.1248300792724335
2.990177,0.7558292347277228,0.011838063655953213,0.3667469271491559,1.134414225532832
2.992479,0.758640902826396,0.011642558383269335,0.3712372103447133,1.1415206715543786
2.994781,0.7630263639929582,0.01144656556626455,0.3758128137964295,1.150285743355652
2.997082,0.7662675586383507,0.011253498015185208,0.38038695461518296,1.1579080112687188
2.999384,0.7704770163050655,0.011056042565217705,0.3839840566148379,1.1655171154851212
3.001686,0.7750969862899842,0.010847373595869323,0.3889336065606901,1.1748779664465436
