Wavelength,CO_NH3_10K,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.0001568684519097002,0.10992431872307984,0.05610994684008303,0.16619113401507254
2.854382,0.00016935797833563174,0.1140898255766565,0.05970093547806686,0.173960119033059
2.8566830000000003,0.00017885001841933974,0.1187713996621527,0.06357118992693453,0.18252143960750652
2.858985,0.00018134792370452606,0.12313474061431615,0.06776267499547715,0.19107876353349784
2.861286,0.0001803487615904515,0.1277488712571123,0.07162143908003298,0.1995506590987357
2.863588,0.00017885001841933974,0.13250638166327813,0.07571001045082593,0.2083952421325234
2.8658900000000003,0.00017984918053341425,0.13763707911905082,0.07993996326076043,0.21775689156034464
2.868191,0.00018284666687563785,0.14246053422474556,0.08414094036938674,0.2267843212610079
2.870493,0.00018634373427489867,0.14721204965822698,0.08837039359826421,0.2357687869907661
2.872795,0.0001888416395600849,0.15232925842545966,0.09275421737376617,0.2452723174387859
2.875096,0.00018834205850304768,0.1576233188868835,0.09670790185915906,0.2545195628045456
2.877398,0.00018384582898971235,0.16284294177080882,0.10080346736475054,0.2638302549645491
2.879699,0.00017835043736230246,0.1682569016859216,0.10487805046594643,0.2733133025892304
2.882001,0.00017885001841933974,0.17368584903274556,0.108934648649089,0.2827993477002539
2.884303,0.00018684331533193592,0.17890547191667086,0.113158106905282,0.2922504221372848
2.886604,0.00019583577435860659,0.1842285080794029,0.1171492599699527,0.3015736038237142
2.888906,0.000200332003871942,0.18939917201973852,0.12145664784372798,0.3110561518673385
2.891208,0.00020233032810009098,0.1945898192023557,0.12502715365837327,0.3198193031888291
2.893509,0.0002133211113549108,0.19991385452720176,0.12944295062152567,0.3295701262600824
2.895811,0.0002407980694919602,0.20522090409610866,0.13408955403302922,0.3395512561986298
2.898112,0.0002697737708001214,0.210977077035292,0.1383824540561504,0.3496293048622425
2.900414,0.00027427000031345674,0.21615123804302688,0.14265187376959085,0.35907738181293114
2.902716,0.0002502901095756681,0.22089426059853864,0.14714860286398326,0.3682931535720976
2.905017,0.00026028173071641344,0.22586958834557275,0.15206348130311584,0.378193351379405
2.907319,0.0003776832791201698,0.2308619018485461,0.15633839640818364,0.3875779815358499
2.909621,0.0005875073230758197,0.23544555804686296,0.16111788838085914,0.397150953750798
2.911922,0.0007528686529551537,0.2407161381986061,0.16607922785829618,0.4075482347098574
2.9142240000000004,0.0007448753560425572,0.2452803107356985,0.17106204932118585,0.4170872354129269
2.916525,0.0006229775781254655,0.24987945394678354,0.1763935783618875,0.42689600988679655
2.918827,0.0005715207292506275,0.25451956280454563,0.18176357514398106,0.4368546586777773
2.921129,0.0007448753560425572,0.2589548434289224,0.18703115780938195,0.4467308765943469
2.92343,0.0011445402016723668,0.26305790265036944,0.1924700967773466,0.4566725396293884
2.925732,0.0017240542278355905,0.266912170505412,0.19803493017168464,0.4666711549049323
2.928034,0.002444949693140359,0.27142138912623026,0.2042297352789467,0.4780960740983173
2.930335,0.0032782508962785123,0.2741436063060263,0.20935843441049126,0.4867802916127961
2.932637,0.0041959812980559615,0.278791708460701,0.21715389722450065,0.5001415869832576
2.9349380000000003,0.00514868237382602,0.28298868892087103,0.22334570484542046,0.5114830761401176
2.93724,0.006067911518774581,0.28681248233143425,0.2294950480764921,0.5223754419267009
2.939542,0.006891221100771989,0.2904629211152055,0.23657511081682425,0.5339292530328017
2.941843,0.007610617822905646,0.29406190305010194,0.2432170409701346,0.5448895618431422
2.944145,0.008246084927457042,0.2972077649662656,0.24978853019440275,0.5552423800881254
2.946447,0.00885257633070028,0.30066436629990634,0.2560417862853381,0.5655587289159447
2.948748,0.009610440794225806,0.3041299600925739,0.26198780002619565,0.5757282009129954
2.95105,0.010719510740848526,0.30745167454081457,0.2690388870652196,0.5872100723468827
2.953351,0.012272208666120336,0.3107304250181501,0.27504485053292155,0.598047484217192
2.955653,0.014201590708398241,0.3119648898100892,0.2792763020860271,0.6054427826045146
2.957955,0.016414235210016274,0.3163696959899868,0.2870582762114965,0.6198422074114995
2.960256,0.01863687133277505,0.3197813350284942,0.2920400985122721,0.6304583048735414
2.962558,0.020473331298444027,0.321399977653295,0.29708137095883513,0.6389546799105741
2.96486,0.0215764062723823,0.3253186914646952,0.304332790001731,0.6512278877388085
2.967161,0.021866163285463917,0.3275453242359103,0.30956590157419633,0.6589773890955706
2.969463,0.02134609940508812,0.3309724502871859,0.3156692833480205,0.6679878330402946
2.971764,0.02009614760038089,0.3336202298894834,0.3207680076161428,0.6744843851060072
2.974066,0.018366098399860854,0.3363249617322832,0.3258617360736948,0.6805527962058389
2.976368,0.016423227669042945,0.3399254424103507,0.3310683698501371,0.6874170399295307
2.978669,0.014436393805205757,0.3421206015749724,0.3362700078160091,0.6928270031961872
2.980971,0.012474039413163388,0.3451940242378657,0.3414336776215462,0.6991017412725753
2.983273,0.010600610449273658,0.3478882648784677,0.3468286534564916,0.7053175287842329
2.985574,0.008888546166806961,0.3505590252093889,0.35207625287961103,0.7115238242558068
2.987876,0.007413782886432966,0.3533017252125234,0.3568842209725376,0.7175997290714939
2.990177,0.006231274524425766,0.35601395077117864,0.36216029651590814,0.7244055218115126
2.992479,0.005323036162732025,0.35872617632983395,0.3675582698371957,0.7316074823297616
2.994781,0.00465609545158728,0.3614538889012574,0.3723102848517341,0.7384202692045788
2.997082,0.004192983811713739,0.364210077592932,0.3772616327080305,0.7456646941126762
2.999384,0.00388973811009212,0.3669827524594888,0.38157751345977536,0.7524500040293562
3.001686,0.003702395213703147,0.3697434373806767,0.3871548363805394,0.7606006689749192
3.003987,0.0036024790022956945,0.3724996260723513,0.39247637380010025,0.7685784788747472
3.006289,0.0035700062335882726,0.3744989494626144,0.39734678952515656,0.7754157452213593
3.0085900000000003,0.0035969836106682852,0.3771941892653305,0.4023226168532477,0.7831137897292465
3.010892,0.003721878874927601,0.3798709445689361,0.4065880399182318,0.7901808633620955
3.013194,0.003998646780526244,0.3822094834969276,0.4118965882303098,0.7981047185077637
3.015495,0.004428786070635325,0.3841368672149773,0.4161789970512331,0.8047446503368457
3.0177970000000003,0.004892896872622943,0.3862615854505568,0.42044791718361657,0.8116023995067962
