Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CH3OH,HNCO_NH3,all
2.85208,0.1643127292606967,0.0118956933890426,0.00024843209843685647,0.17645685474817616
2.854382,0.1736729049750883,0.012900776715674422,0.0002590036770937439,0.18683268536785647
2.8566830000000003,0.1821982091316823,0.014189873339582874,0.0002695752557506315,0.19665765772701585
2.858985,0.1923662775932494,0.015667331114016768,0.000280146834407519,0.2083137555416737
2.861286,0.20133795843468236,0.017144298364621162,0.0002907184130644065,0.2187729752123679
2.863588,0.21123329564705112,0.018590853137796983,0.000301289991721294,0.2301254387765694
2.8658900000000003,0.2213621222022588,0.02060200083871961,0.00031186157037818145,0.24227598461135655
2.868191,0.232073200543075,0.02261511063496021,0.000322433149035069,0.2550107443270703
2.870493,0.24280340931324146,0.0246071279065326,0.00033300472769195647,0.267743541947466
2.872795,0.2536822468037444,0.026575109510459813,0.000343576306348844,0.2806009326205531
2.875096,0.2649530128340125,0.028612745498175083,0.00035414788500573154,0.2939199062171933
2.877398,0.2760854511443636,0.030982956642286823,0.000364719463662619,0.30743312725031297
2.879699,0.28828919349832793,0.03296712553258732,0.00037529104231950655,0.3216316100732347
2.882001,0.3002084320311862,0.03524021295845938,0.00038551023502116435,0.3358341552246667
2.884303,0.31249016767404003,0.03721898608663545,0.000396081813678052,0.3501052355743535
2.886604,0.3243888042060596,0.0393615941738623,0.0004063010063797099,0.3641566993863016
2.888906,0.3371080871048215,0.04137911868456833,0.0004168725850365974,0.3789040783744264
2.891208,0.3503026875943624,0.04346629757906242,0.0004270917777382553,0.3941960769511631
2.893509,0.3619344791631376,0.04553189342505882,0.00043766335639514286,0.4079040359445916
2.895811,0.3752247317994297,0.04704319734372775,0.0004478825490968008,0.4227158116922543
2.898112,0.3884203133366296,0.0491627508109684,0.0004584541277536883,0.4380415182753517
2.900414,0.4013225616237926,0.05074567120874336,0.0004686733204553462,0.4525369061529913
2.902716,0.4140276193314991,0.05276025257647243,0.0004788925131570041,0.4672667644211286
2.905017,0.4274821974506715,0.054788078087597836,0.0004891117058586621,0.482759387244128
2.907319,0.4398988271466361,0.05734174514394009,0.0004996832845155496,0.4977402555750917
2.909621,0.4533259359313568,0.059591287425996474,0.000512016792948585,0.5134292401503018
2.911922,0.4667275374769438,0.06248930221064303,0.0005701604755614662,0.5297870001631484
2.9142240000000004,0.480165928309743,0.06504738398145071,0.0006335899475027912,0.5458469022386966
2.916525,0.4941993245477175,0.06820537639572873,0.0006970194194441164,0.5631017203628903
2.918827,0.5081885736410376,0.07078847488184058,0.0007600965054302117,0.5797371450283084
2.921129,0.5224819475086435,0.07397344610674073,0.0008221164335506187,0.5972775100489348
2.92343,0.5390518424689279,0.07779119307168728,0.0008848411335814842,0.6177278766741967
2.925732,0.553937769122562,0.08095850543872568,0.0009507373072094164,0.635847011868497
2.928034,0.5706901389474179,0.08477821449899017,0.0010141667791507417,0.6564825202255589
2.930335,0.5851807033944803,0.08808875982424061,0.0010733676196293118,0.6743428308383501
2.932637,0.5984032637423022,0.09192269407556043,0.0011660451258546922,0.6914920029437174
2.9349380000000003,0.6110317997326079,0.09530927059438236,0.001355628769768208,0.7076966990967585
2.93724,0.6232149400857336,0.099082379890845,0.0015328789052486884,0.7238301988818273
2.939542,0.6336964532743469,0.10236987059610923,0.00171788153174422,0.7377842054022004
2.941843,0.6428560047424758,0.10635096199627707,0.001902531772284522,0.7511094985110374
2.944145,0.6539531253371033,0.1097223322763847,0.002086829626869594,0.7657622872403576
2.946447,0.6633834459591124,0.11311970031945545,0.002263727376394845,0.7787668736549626
2.948748,0.6733862078901403,0.11658476065099628,0.0024554253360397392,0.7924263938771763
2.95105,0.6835621247329793,0.11942440309993314,0.002806401747448404,0.8057929295803609
2.953351,0.6913197590964163,0.12221106897528472,0.0031742926847080893,0.8167051207564091
2.955653,0.7007211388124852,0.12493494780046115,0.0034805160798025967,0.8291366026927489
2.957955,0.7066000669089627,0.12727376541948532,0.0036806713023730007,0.8375545036308211
2.960256,0.7120296751776244,0.12958511370405787,0.003892102875510751,0.8455068917571931
2.962558,0.7194150019544758,0.1321687027139992,0.003853340420435497,0.8554370450889105
2.96486,0.7237115001770078,0.1344412996160418,0.003789558562538943,0.8619423583555885
2.967161,0.7291146201588767,0.13690323871626878,0.0037159098978959593,0.8697337687730414
2.969463,0.7328229803098463,0.13855777559314975,0.003643670777073895,0.87502442668007
2.971764,0.7398973149787991,0.14100254635934448,0.00357953653322211,0.8844793978713655
2.974066,0.7452621741019676,0.1434546749829816,0.0035069450264448155,0.892223794111394
2.976368,0.7510694857193391,0.14546533216007473,0.0034347059056227514,0.8999695237850366
2.978669,0.7561645567362862,0.14765846420173934,0.003369162117950049,0.9071921830559756
