Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.001380976899844717,0.003637038150241326,0.07341977657443946,0.07843779162452551
2.854382,0.0014403469327498911,0.003912934185506546,0.07849965619662838,0.08385293731488483
2.8566830000000003,0.0014972224264573686,0.004218265783304582,0.08370625841006027,0.0894217466198222
2.858985,0.0015575902750416212,0.00456550563962392,0.08883453209268449,0.09495762800735004
2.861286,0.0016239450177003448,0.0049521592152668575,0.09478001681647404,0.10135612104944124
2.863588,0.0016967855622730796,0.0053742352475170865,0.09974814108260616,0.10681916189239632
2.8658900000000003,0.0017761119087598247,0.005827742473658289,0.10468533306268683,0.11228918744510497
2.868191,0.0018654164120373547,0.006307691815295074,0.10962302395060708,0.11779613217793952
2.870493,0.0019661957956242887,0.006808595286192506,0.11481316220533415,0.12358795328715096
2.872795,0.0020694697184089187,0.0073229692687575,0.11915615494852355,0.12854859393569001
2.875096,0.0021632643922423027,0.007840835606199269,0.12414872569879308,0.13415282569723466
2.877398,0.0022366038446545765,0.008354710680924724,0.1285231496358735,0.1391144641614528
2.879699,0.002300962955955143,0.008870082479168795,0.13302529397987592,0.14419633941499985
2.882001,0.0023708100534906413,0.009396929157722271,0.13732288610966722,0.14909062532088013
2.884303,0.0024546265705332397,0.00993525071658515,0.14134308548067473,0.1537329627677931
2.886604,0.002546425613008467,0.010471576644089872,0.1455184451897789,0.15853644744687725
2.888906,0.0026372268398046155,0.010989442981531644,0.14984497397426352,0.16347164379559978
2.891208,0.0027220411725262924,0.011482862834835987,0.15381628037699616,0.16802118438435842
2.893509,0.0027953806249385663,0.011955328558879682,0.15772572220762596,0.1724764313914442
2.895811,0.002855748473522818,0.012408835785020885,0.1616526258126396,0.1769172100711833
2.898112,0.0029156174142675314,0.012840889974061898,0.16631641629665275,0.18207292368498215
2.900414,0.0029959415764333553,0.013245005324088713,0.17027425218771786,0.1865151990882399
2.902716,0.0030992154992179853,0.01361918620374317,0.17492956123845882,0.19164796294142
2.905017,0.003177544030025652,0.013972911861976516,0.1790400629284229,0.19619051882042507
2.907319,0.003174051675148877,0.014318156086937697,0.18345739293970367,0.20094960070179024
2.909621,0.0031027078540947607,0.01465791232566394,0.1879176290251848,0.20567824920494351
2.911922,0.003074769015080561,0.014980206790006315,0.19270165629852687,0.2107566321036138
2.9142240000000004,0.0031975003436072232,0.015273065691815869,0.1975859640476164,0.21605653008303952
2.916525,0.0034649149456002755,0.015526011966462284,0.20289284673679567,0.22188377364885828
2.918827,0.0037941941196961977,0.015727071825796614,0.20800216192151744,0.22752342786701024
2.921129,0.004125468925150278,0.01586726492870715,0.21295032987406798,0.23294306372792545
2.92343,0.004513120316472295,0.015949584722231132,0.21812051181521352,0.2385832168539169
2.925732,0.005046452796939782,0.015979020284763945,0.2236558942949018,0.2446813673766055
2.928034,0.00580579052871856,0.015960560694700997,0.2295864117835052,0.2513527630069247
2.930335,0.0068544948074301185,0.015898197214758585,0.23419582131300856,0.25694851333519725
2.932637,0.008251436758140093,0.01579592110765303,0.2413860810964486,0.2654334389622417
2.9349380000000003,0.010000108735725256,0.015661215990977428,0.24709907476701284,0.2727603994937156
2.93724,0.012046129785675829,0.015505556745041175,0.2529233248857944,0.2804750114165114
2.939542,0.014323145165333088,0.015339919342314138,0.2590888279668208,0.28875189247446803
2.941843,0.016675495628760778,0.015172286308228937,0.26526879937519376,0.2971165813121835
2.944145,0.018906611487180418,0.015009642352539132,0.2711429402779292,0.3050591941176487
2.946447,0.02085784004761853,0.014854980922281956,0.27686690992096336,0.3125797308908638
2.948748,0.02248727305155381,0.01469632822930847,0.28319555586551903,0.3203791571463813
2.95105,0.02377944435596053,0.014521710485469718,0.2890876574504779,0.3273888122919081
2.953351,0.024751316827383046,0.014330628782926175,0.29490043268895005,0.33398237829925925
2.955653,0.025471739747677764,0.014144536158778025,0.29889069758958514,0.3385069734960409
2.957955,0.02601105912221972,0.01398388783444638,0.30556309103558343,0.34555803799224954
2.960256,0.026394220342985882,0.013850679441289395,0.3108111025996971,0.35105600238397233
2.962558,0.02661922777861809,0.013732438283318585,0.3144695937870386,0.3548212598489753
2.96486,0.026677101088004654,0.013617689480224552,0.3210257417064242,0.3613205322746534
2.967161,0.026533914538056882,0.013500945045772362,0.32651971483543074,0.36655457441926004
2.969463,0.0261492565937721,0.013377714809406159,0.3314459308430416,0.3709729022462198
2.971764,0.025501175310210573,0.013247998771125948,0.33672038452265074,0.3754695586039873
2.974066,0.02461112372447251,0.013119280548524813,0.3420626896684373,0.3797930939414347
2.976368,0.023508537399090708,0.013000540482714464,0.3462984172261258,0.38280749510793105
2.978669,0.02225228745913081,0.012888785126657669,0.35078559433494205,0.3859266669207305
2.980971,0.02093566967058666,0.012771541784365941,0.35629802705401153,0.3900052385089641
2.983273,0.01964948526025441,0.012636337759850794,0.360768740204123,0.39305456322422816
2.985574,0.01845460098455784,0.012480678513914541,0.3657987290423579,0.3967340085408303
2.987876,0.017399909811771804,0.012305561862236254,0.3705652945413162,0.40027076621532426
2.990177,0.016517840751466364,0.012113981251853171,0.3752949408601486,0.4039267628634681
2.992479,0.015794424384134413,0.011913919208197923,0.3798898820623053,0.4075982256546376
2.994781,0.015203717502119912,0.011713358256703131,0.38457213213638136,0.4114892078952044
2.997082,0.014721273621285431,0.011515790752245578,0.3892528854869389,0.4154899498604699
2.999384,0.014323644073172631,0.011313733077232171,0.3929338275270597,0.4185712046774645
