Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,HNCO_NH3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.05575965516975004,0.0003500058487336732,0.07305987334112919,0.1291695343596129
2.854382,0.05932822544024315,0.0003648997146372338,0.07811485142879766,0.13780797658367805
2.8566830000000003,0.06317431807873927,0.0003797935805407944,0.08329593091444958,0.14685004257372966
2.858985,0.06733963590976838,0.00039468744644435486,0.08839906583520622,0.15613338919141895
2.861286,0.07117430991773845,0.0004095813123479154,0.09431540583429726,0.1658992970643836
2.863588,0.07523735653622976,0.00042447517825147614,0.0992591763898858,0.17492100810436706
2.8658900000000003,0.07944090195641132,0.00043936904415503656,0.10417216628927364,0.18405243728983997
2.868191,0.08361565256917937,0.00045426291005859715,0.10908565265085828,0.19315556813009624
2.870493,0.08781870152716416,0.00046915677596215773,0.11425034888401628,0.2025382071871426
2.872795,0.09217515730395562,0.0004840506418657184,0.1185720523070328,0.2112312602528541
2.875096,0.09610415912931487,0.0004989445077692789,0.1235401495102638,0.22014325314734795
2.877398,0.1001741562185612,0.0005138383736728394,0.1278931300516778,0.22858112464391184
2.879699,0.10422330189554252,0.0005287322395763999,0.13237320491546878,0.2371252390505877
2.882001,0.1082545749334396,0.0005431296432831752,0.1366497302785778,0.24544743485530054
2.884303,0.11245166634506296,0.0005580235091867358,0.1406502226602742,0.2536599125145239
2.886604,0.11641790283518112,0.0005724209128935108,0.14480511478517075,0.2617954385332454
2.888906,0.12069839989586445,0.0005873147787970716,0.14911043495569334,0.27039614963035485
2.891208,0.12424661521628935,0.0006017121825038468,0.15306227404210473,0.277910601440898
2.893509,0.1286348445736751,0.0006166060484074072,0.15695255181611478,0.2862040024381973
2.895811,0.13325243946597562,0.0006310034521141826,0.1608602057670123,0.2947436486851021
2.898112,0.13751853912295214,0.0006458973180177432,0.16550113438256175,0.3036655708235316
2.900414,0.14176130505667978,0.0006602947217245182,0.16943956898965995,0.31186116876806425
2.902716,0.14622996128994475,0.0006746921254312935,0.17407205774786408,0.3209767111632401
2.905017,0.15111415638191905,0.0006890895291380688,0.17816240978717854,0.3299656556982357
2.907319,0.1553623833998113,0.0007039833950416293,0.18255808607751609,0.338624452872369
2.909621,0.16011203723645676,0.0007213595719291166,0.18699645811677715,0.34782985492516305
2.911922,0.1650424033127321,0.0008032758343986998,0.19175703412175188,0.3576027132688827
2.9142240000000004,0.1699941172634692,0.0008926390298200631,0.1966173990282805,0.3675041553215697
2.916525,0.17529236182756247,0.0009820022252414265,0.20189826741548628,0.37817263146829017
2.918827,0.1806288339808082,0.0010708689584660043,0.20698253677276504,0.3886822397120393
2.921129,0.185863531383713,0.0011582463051002265,0.21190644884048215,0.3989282265292954
2.92343,0.1912685153201151,0.0012466165761280189,0.2170512865857688,0.4095664184820119
2.925732,0.19679860773010716,0.00133945500692688,0.22255953465910228,0.4206975973961363
2.928034,0.2029547389702455,0.001428818202348243,0.2284609807922897,0.4328445379648835
2.930335,0.20805141988244394,0.0015122238514081825,0.23304779502838965,0.44261143876224174
2.932637,0.21579821600108254,0.0016427934091627302,0.2402028082084601,0.4576438176187054
2.9349380000000003,0.2219513684680402,0.0019098900710332492,0.2458877968238492,0.4697490553629226
2.93724,0.2280623216482711,0.0021596105560162814,0.25168349650912136,0.4819054287134088
2.939542,0.23509818390111314,0.002420253209328592,0.25781877633699474,0.4953372134474365
2.941843,0.2416986488073744,0.002680399400444116,0.26396845356857496,0.5083475017763934
2.944145,0.2482291125438889,0.002940049129362855,0.26981379947352563,0.5209829611467773
2.946447,0.2544433298610512,0.0031892731521491013,0.27550971025724397,0.5331423132704443
2.948748,0.2603522229271904,0.003459348587200334,0.2818073332234662,0.5456189047378569
2.95105,0.2673592903726189,0.0039538249351985435,0.2876705517675012,0.5589836670753185
2.953351,0.2733277589023724,0.004472131468642452,0.2934548328222474,0.5712547231932622
2.955653,0.2775327937091443,0.004903557117648923,0.29742553747213657,0.5798618882989298
2.957955,0.2852661853484697,0.005185547645423002,0.3040652228919439,0.5945169558858365
2.960256,0.2902169063748133,0.005483424963494214,0.30928750873992894,0.6049878400782365
2.962558,0.29522670640257426,0.005428814121847825,0.31292806602895595,0.6135835865533781
2.96486,0.3024328551889137,0.005338954464229677,0.31945207575691226,0.6272238854100556
2.967161,0.30763329670024026,0.005235193865101538,0.3249191174679126,0.6377876080332543
2.969463,0.3136985753583668,0.005133419114760541,0.3298211851989712,0.6486531796720986
2.971764,0.3187654685387581,0.005043062994945607,0.33506978354338585,0.6588783150770896
2.974066,0.3238273970971816,0.0049407917824078225,0.34038590074656344,0.6691540896261529
2.976368,0.32900152611207856,0.004839017032066828,0.3446008647972711,0.6784414079414165
2.978669,0.33417069050500764,0.0047466750634647505,0.3490660457951585,0.6879834113636311
2.980971,0.33930212377098096,0.004646886161910896,0.3545514566074399,0.6985004665403318
