Wavelength,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,CH3OH,all
2.85208,0.2335427410718193,0.003519332944190893,0.011707454489653407,0.2487695285056637
2.854382,0.24323756194770985,0.003786300175759832,0.012696633255448626,0.2597204953789183
2.8566830000000003,0.25321866052399883,0.0040817503488524,0.01396533105755201,0.2712657419304032
2.858985,0.2631910693893145,0.004417752506487087,0.015419409360419356,0.2830282312562209
2.861286,0.2738219652417188,0.004791892840060193,0.01687300490156596,0.295486862983345
2.863588,0.284944312525836,0.005200309255805802,0.018296669216026733,0.3084412909976685
2.8658900000000003,0.29544679376052363,0.005639139659958,0.020275992271058644,0.32136192569154026
2.868191,0.3068192116159838,0.0061035564353093905,0.022257246372973515,0.3351800144242667
2.870493,0.31832776827669257,0.00658824920293184,0.024217741720896583,0.349133759200521
2.872795,0.3296799101398817,0.007085976537014256,0.026154581744503427,0.36292046842139936
2.875096,0.3411179835893625,0.0075870832031418485,0.028159973932455274,0.3768650407249596
2.877398,0.3529268180403711,0.008084327775503525,0.0304926785670685,0.3915038243829432
2.879699,0.3646685486121971,0.008583020633027419,0.032445449727459746,0.4056970189726843
2.882001,0.3763093819843884,0.009092817010128323,0.03468256754136654,0.4200847665358833
2.884303,0.3871502791853145,0.009613716906806232,0.03663002832282965,0.4333940244149504
2.886604,0.3997102908737938,0.010132685756601185,0.03873873151901976,0.4485817081494147
2.888906,0.4120187837057679,0.01063379242272878,0.04072433047642128,0.4633769066049179
2.891208,0.4235408576946574,0.011111243764540134,0.04277848159816781,0.4774305830573654
2.893509,0.4350571385428979,0.01156841911408043,0.04481139120420182,0.4914369488611801
2.895811,0.4465912815748058,0.012007249518232632,0.04629878006580019,0.5048973111588386
2.898112,0.4583952884086071,0.012425321168393032,0.04838479346111553,0.5192054030381157
2.900414,0.4694186695399727,0.01281635816219202,0.049942665533941874,0.5321776932361065
2.902716,0.4810585373887225,0.01317842945274664,0.05192536792101896,0.5461623347624881
2.905017,0.4917850200618333,0.01352070751275094,0.053921104874556015,0.5592268324491403
2.907319,0.5031950933315112,0.013854778623502666,0.05643436239272581,0.5734842343477398
2.909621,0.5128778451643832,0.01418353935532626,0.058648307644037126,0.5857096921637466
2.911922,0.5215694871845771,0.014495403426923969,0.061500463890166036,0.597565354501667
2.9142240000000004,0.5338485315515858,0.014778784556998053,0.06401806626382249,0.6126453823724064
2.916525,0.5435935596464333,0.015023544749412974,0.06712608622194333,0.6257431906177895
2.918827,0.5537040383638805,0.01521809772287099,0.06966830944335749,0.6385904455301089
2.921129,0.5635335497598574,0.015353753766398788,0.072802881296119,0.6516901848223752
2.92343,0.5726838154147537,0.015433409450320804,0.07656021576863448,0.6646774406337089
2.925732,0.5820643584104427,0.015461892391844432,0.07967740819944936,0.6772036590017365
2.928034,0.5906102063909731,0.015444030208177075,0.08343667371884779,0.6894909103179979
2.930335,0.5984912914820454,0.01538368499308464,0.08669483257211863,0.7005698090472486
2.932637,0.6080543184081739,0.01528471884033304,0.09046809818141847,0.7138071354299254
2.9349380000000003,0.6155887805837551,0.015154373175733378,0.09380108510140392,0.7245442388608925
2.93724,0.6234491069208354,0.015003751518862657,0.09751448825733212,0.7359673466970302
2.939542,0.6310371556474189,0.014843474627577144,0.10074995730972816,0.7466305875847242
2.941843,0.6355630467793516,0.014681266689408674,0.10466805143524988,0.7549123649040103
2.944145,0.6440804118183584,0.014523886368447604,0.10798607274189242,0.7665903709286984
2.946447,0.6528401232411766,0.014374230235018359,0.11132968041973412,0.7785440338959291
2.948748,0.6558366252418066,0.0142207120078232,0.11473990921503788,0.7847972464646676
2.95105,0.6644968877501524,0.014051745405564378,0.11753461681639882,0.7960832499721155
2.953351,0.6707824453541805,0.013866847666521152,0.12027718615191985,0.8049264791726215
2.955653,0.6774097982564923,0.013686777544685322,0.12295796198718628,0.8140545377883638
2.957955,0.6819443790993983,0.013531328270607207,0.12525976987167214,0.8207354772416777
2.960256,0.6885799389509626,0.013402430891169765,0.12753454309979664,0.8295169129419291
2.962558,0.6925443782016752,0.0132880163633545,0.13007724908293156,0.8359096436479614
2.96486,0.6985050371676458,0.013176981167584421,0.1323138841351176,0.8439959024703477
2.967161,0.7027972716267407,0.01306401492493138,0.13473686521150913,0.8505981517631811
2.969463,0.7060602580972188,0.012944772779908723,0.13636522049556346,0.855370251372691
2.971764,0.7117471911675299,0.012819254732516458,0.13877130491172904,0.8633377508117756
2.974066,0.7171874329985434,0.012694702208565669,0.14118463075370574,0.8710667659608147
2.976368,0.7214473224223487,0.012579804919029668,0.14316347104701693,0.8771905983883952
2.978669,0.7263188709463309,0.012471666293584021,0.14532189870044318,0.8841124359403579
2.980971,0.7313859379672125,0.012358217289210242,0.14769032770239116,0.8914344829588139
2.983273,0.7352219626002086,0.01222738886288984,0.15040441409638858,0.897853765559487
2.985574,0.7371906648973842,0.01207676720601912,0.15329181194813146,0.9025592440515348
2.987876,0.7433159456101269,0.011907317842039557,0.15614493371770186,0.9113681971698684
2.990177,0.7484148749045774,0.011721937341275593,0.15901881424126407,0.9191556264871171
2.992479,0.7511989617480821,0.011528349891259058,0.16272401044793966,0.9254513220872808
2.994781,0.7555414034261337,0.01133427967952178,0.16561285658484476,0.9324885396905004
2.997082,0.7587508033456098,0.011143106038108941,0.16925674205298644,0.9391506514367052
2.999384,0.7629189680424746,0.010947587541209449,0.1729662831151487,0.9468328386988328
3.001686,0.767493618108202,0.010740965524732944,0.1765628579346579,0.9547974415675928
