Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_40K,HNCO_NH3,all
2.85208,0.16235424737130502,0.1066449697942239,0.0003416973985944284,0.2693409145641233
2.854382,0.17160285695992755,0.11068620796369956,0.0003562377134282338,0.2826453026370553
2.8566830000000003,0.18002654602031218,0.11522811764061927,0.0003707780282620393,0.2956254416891935
2.858985,0.1900734188933106,0.11946128796590118,0.0003853183430958448,0.3099200252023077
2.861286,0.1989381641703207,0.12393776622606875,0.0003998586579296502,0.3232757890543191
2.863588,0.2087155565417326,0.12855334683147973,0.0004143989727634557,0.3376833023459758
2.8658900000000003,0.21872365524184093,0.13353098127625246,0.00042893928759726114,0.35268357580569065
2.868191,0.2293070657322068,0.13821053926693214,0.0004434796024310666,0.36796108460157
2.870493,0.23990937863185655,0.14282030374640964,0.00045801991726487196,0.3831877022955311
2.872795,0.2506585487113279,0.14778485190783194,0.00047256023209867753,0.3989159608512585
2.875096,0.2617949758425395,0.15292097578429314,0.000487100546932483,0.4152030521737651
2.877398,0.2727947240143133,0.15798488276374648,0.0005016408617662882,0.4312812476398261
2.879699,0.2848530071059881,0.16323732915887815,0.0005161811766000938,0.4486065174414664
2.882001,0.29663017744420944,0.1685043158688436,0.0005302368142727725,0.4656647301273258
2.884303,0.3087655242045035,0.17356822284829693,0.0005447771291065781,0.482878524181907
2.886604,0.32052233810195746,0.17873245800010348,0.0005588327667792565,0.4998136288688402
2.888906,0.33309001688997664,0.1837488666177664,0.0005733730816130621,0.5174122565893561
2.891208,0.3461273478471277,0.18878466232187435,0.0005874287192857406,0.5354994388882879
2.893509,0.3576204973689287,0.1939498668280032,0.0006019690341195461,0.5521723332310514
2.895811,0.3707523403724995,0.1990985923106537,0.0006160246717922247,0.5704669573549455
2.898112,0.3837906406839729,0.20468304256115724,0.0006305649866260302,0.5891042482317562
2.900414,0.3965391040530925,0.209702843918948,0.0006446206242987088,0.6068865685963392
2.902716,0.4090927272034389,0.2143043688866863,0.0006586762619713874,0.6240557723520965
2.905017,0.4223869370559872,0.2191312687343486,0.000672731899644066,0.6421909376899799
2.907319,0.4346555700355912,0.2239746476054892,0.0006872722144778715,0.6593174898555583
2.909621,0.4479226379671164,0.228421560558828,0.0007042359151173111,0.6770484344410617
2.911922,0.461164502686263,0.2335349046087163,0.0007842076467032412,0.6954836149416825
2.9142240000000004,0.4744427181924942,0.2379629151527712,0.0008714495357060742,0.7132770828809714
2.916525,0.4883088470951722,0.2424248530981049,0.0009586914247089068,0.7316923916179859
2.918827,0.5021313550533488,0.2469265345706511,0.0010454486365506126,0.7501033382605505
2.921129,0.516254362851424,0.2512294984071352,0.001130751816908938,0.7686146130754682
2.92343,0.5326267573542889,0.2552101519314701,0.001217024351589517,0.7890539336373484
2.925732,0.5473352551630055,0.2589494362295637,0.0013076589807202376,0.8075923503732895
2.928034,0.5638879495698096,0.26332413228589463,0.0013949008697230706,0.8286069827254273
2.930335,0.5782057975866578,0.26596513813687483,0.0014763266327923812,0.8456472623563249
2.932637,0.5912707551419931,0.2704745744439991,0.0016037967261687425,0.863349126312161
2.9349380000000003,0.6037487686552039,0.2745463472746257,0.0018645530388549866,0.8801596689686846
2.93724,0.6157866953061115,0.2782560662658906,0.0021083456509017923,0.8961511072229039
2.939542,0.6261432768850699,0.2817976022822445,0.002362801160493388,0.9103036803278076
2.941843,0.6351936535147916,0.2852892165510024,0.002616771992923857,0.923099642058718
2.944145,0.6461585049309643,0.2883412286346181,0.0028702581481931983,0.9373699917137756
2.946447,0.6554764233536279,0.2916947099124547,0.003113566083078876,0.9502846993491616
