Wavelength,CO_CH3OH_10K,HNCO_NH3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.0036011598086755437,0.0003482603107155361,0.07269551146838157,0.07664493158777265
2.854382,0.0038743342084282977,0.00036307989840555897,0.07772527953037534,0.08196269363720919
2.8566830000000003,0.004176653797304764,0.0003778994860955818,0.08288052010147792,0.08743507338487827
2.858985,0.004520468231713293,0.0003927190737856046,0.08795820483033608,0.09287139213583498
2.861286,0.0049033075803722155,0.0004075386614756274,0.09384503904706948,0.09915588528891732
2.863588,0.005321219953230859,0.00042235824916565036,0.09876415418764438,0.1045077323900409
2.8658900000000003,0.00577025346023855,0.000437177836855673,0.10365264218032656,0.1098600734774208
2.868191,0.0062454682388319496,0.0004519974245456958,0.10854162415926512,0.11523908982264275
2.870493,0.006741430440191378,0.00046681701223571864,0.11368056318390868,0.12088881063633578
2.872795,0.007250730270471829,0.00048163659992574143,0.11798071354529698,0.12571308041569454
2.875096,0.007763488004546619,0.0004964561876157643,0.12292403401243222,0.1311839782045946
2.877398,0.008272293848570735,0.0005112757753057871,0.1272553055079696,0.13603887513184612
2.879699,0.008782581651363855,0.0005260953629958098,0.13171303748512844,0.1410217144994881
2.882001,0.009304231138052656,0.0005404209644294986,0.1359682350971903,0.14581288719967245
2.884303,0.009837242308637143,0.0005552405521195215,0.13994877635073047,0.15034125921148714
2.886604,0.010368277534196292,0.0005695661535532103,0.14408294732999047,0.15502079101773994
2.888906,0.010881035268271085,0.000584385741243233,0.14836679614491974,0.15983221715443405
2.891208,0.011369587675785504,0.0005987113426769218,0.15229892674533912,0.16426722576380154
2.893509,0.01183739266053389,0.0006135309303669447,0.1561698030499731,0.16862072664087396
2.895811,0.01228642616754158,0.0006278565318006332,0.16005796887357873,0.17297225157292095
2.898112,0.012714218265526907,0.0006426761194906562,0.16467575239778987,0.17803264678280742
2.900414,0.013114347133157523,0.0006570017209243447,0.16859454536928822,0.1823658942233701
2.902716,0.013484836825408094,0.0006713273223580335,0.17320393112714166,0.1873600952749078
2.905017,0.013835073081148966,0.0006856529237917223,0.17727388389307822,0.1917946098980189
2.907319,0.01417691157053216,0.000700472511481745,0.1816476382066603,0.19652502228867424
2.909621,0.014513316211095676,0.0007177620304534383,0.1860638753382871,0.20129495357983626
2.911922,0.0148324313326875,0.0007992697627485638,0.19080070955027476,0.2064324106457108
2.9142240000000004,0.015122401265155613,0.0008881872888887007,0.1956368349997855,0.21164742355382984
2.916525,0.015372852297117,0.0009771048150288377,0.20089136680841127,0.21724132392055712
2.918827,0.01557192875841964,0.0010655283549126403,0.20595028005952876,0.222587737172861
2.921129,0.015710738896449517,0.0011524699360274408,0.21084963574985027,0.22771284458232724
2.92343,0.015792246628744643,0.0012403994896549096,0.2159688153242405,0.2330014614426401
2.925732,0.015821391817868354,0.001332774919589385,0.22144959283826726,0.23860375957572502
2.928034,0.015803114326384,0.001421692445729522,0.22732160746731064,0.2445464142394241
2.930335,0.015741366044342238,0.0015046821367936498,0.2318855464895813,0.24913159467071724
2.932637,0.015640098861793746,0.0016346005222095169,0.2390048764158683,0.25627957579987154
2.9349380000000003,0.01550672257258354,0.0019003651281172586,0.24466151303715,0.2620686007378508
2.93724,0.015352598860607303,0.002148840215053308,0.2504283085935942,0.2679297476692548
2.939542,0.015188595423504384,0.0024081829996287075,0.2565329907493709,0.274129769172504
2.941843,0.015022616041376127,0.0026670317979477732,0.2626519985065814,0.2803416463459053
2.944145,0.014861576521811212,0.002925386610010504,0.26846819268865896,0.2862551558204807
2.946447,0.014708440782347643,0.0031733677106902183,0.2741356970075801,0.2920175055006179
2.948748,0.014551353152833403,0.003442096234135966,0.28040191266917797,0.29839536205614736
2.95105,0.01437845796311647,0.003934106545444724,0.2862358903564837,0.30454845486504484
2.953351,0.014189261226940513,0.004449828197057517,0.29199132422903223,0.31063041365303024
2.955653,0.014005004353327893,0.004879102253811845,0.29594222630719225,0.314826332914332
2.957955,0.013845940778788316,0.00515968644740961,0.3025487984994044,0.32155442572560233
2.960256,0.013714046448347112,0.005456078201210066,0.30774503992978275,0.32691516457933995
2.962558,0.013596971705595932,0.005401739713013316,0.31136744114748066,0.3303661525660899
2.96486,0.013483354866639092,0.005312328200616846,0.31785891454196696,0.3366545976092229
2.967161,0.013367762082656914,0.00520908507304302,0.3232986911967181,0.341875538352418
2.969463,0.01324574747734239,0.005107817890494529,0.3281763114917609,0.34652987685959785
2.971764,0.013117311050695529,0.005017912391841725,0.3333987341937249,0.35153395763626216
2.974066,0.01298986259656133,0.004916151223036901,0.3386883390265504,0.3565943528461486
2.976368,0.012872293867553815,0.004814884040488411,0.3428822823428269,0.3605694602508691
2.978669,0.012761640946134977,0.004723002596810271,0.3473251947322957,0.36480983827524094
2.980971,0.012645554175896469,0.004623711359287118,0.35278324887853113,0.3700525144137147
2.983273,0.012511683900429928,0.0045224441767386285,0.3572098597215409,0.37424398779870943
