Wavelength,CO_NH3_10K,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.00015625300042226414,0.012067807367007412,0.0732304069908943,0.08545446735832397
2.854382,0.00016869352593359093,0.013087432837915755,0.07829718422114748,0.09155331058499684
2.8566830000000003,0.00017814832532219926,0.014395180879666425,0.08349035719059571,0.09806368639558433
2.858985,0.0001806364304244646,0.01589401539327107,0.08860540365983283,0.10468005548352836
2.861286,0.00017964118838355845,0.017392352285855266,0.09453555336057208,0.11210754683481088
2.863588,0.00017814832532219926,0.01885983667517137,0.09949086348224374,0.11852884848273733
2.8658900000000003,0.00017914356736310538,0.020900082859028963,0.10441532110064733,0.1254945475270394
2.868191,0.0001821292934858238,0.02294231952696836,0.1093402763400714,0.13246472516052554
2.870493,0.0001856126406289953,0.02496315849102828,0.11451702781584465,0.13966579894750195
2.872795,0.00018810074573126064,0.026959614025086003,0.11884881879888864,0.1459965335697059
2.875096,0.0001876031247108076,0.02902673174404805,0.12382851235056253,0.15304284721932138
2.877398,0.00018312453552672995,0.03143123651487729,0.12819165345789504,0.15980601450829907
2.879699,0.00017765070430174616,0.03344411354260996,0.13268218554646355,0.16630394979337526
2.882001,0.00017814832532219926,0.035750089351389486,0.13696869301664627,0.17289693069335796
2.884303,0.00018611026164944838,0.037757492547897176,0.14097852319945714,0.17892212600900376
2.886604,0.0001950674400176036,0.0399311011652362,0.14514311351962889,0.1852692821248827
2.888906,0.00019954602920168126,0.04197781642235967,0.14945848300899792,0.19163584546055928
2.891208,0.00020153651328349355,0.04409519386438748,0.15341954633180432,0.1977162767094753
2.893509,0.00021248417573346107,0.04619067598151536,0.15731890464807466,0.20372206480532346
2.895811,0.00023985333185838,0.047723846345531284,0.16123567970006072,0.2091993793774504
2.898112,0.00026871535104465807,0.04987406677490898,0.16588744099925604,0.2160302231252097
2.900414,0.0002731939402287357,0.05147988980791105,0.16983506855451022,0.22158815230265
2.902716,0.00024930813124698827,0.0535236193389118,0.17447837029635785,0.22825129776651665
2.905017,0.0002592605516560497,0.0555807846374648,0.17857826988387068,0.23441831507299155
2.907319,0.0003762014914625213,0.05817139966994349,0.18298420639896215,0.24153180756036816
2.909621,0.0005852023200528108,0.060453489669741275,0.18743293832181265,0.2484716303116067
2.911922,0.0007499148778227772,0.06339343465857801,0.19220462628693716,0.2563479758233379
2.9142240000000004,0.0007419529414955282,0.06598852828024078,0.19707633607717268,0.263806817298909
2.916525,0.0006205334125049789,0.06919221240991764,0.202369530871732,0.2721822766941546
2.918827,0.0005692784473983126,0.07181268470362351,0.20746566774219188,0.2798476308932137
2.921129,0.0007419529414955282,0.07504373798942529,0.21240107302304545,0.28818676395396625
2.92343,0.0011400497578579847,0.07891672239161154,0.2175579196580006,0.2976146918074701
2.925732,0.001717290141583546,0.08212986132067703,0.22307902487992745,0.306926176342188
2.928034,0.002435357274097327,0.08600483620694507,0.22899424595005305,0.31743443943109545
2.930335,0.0032653891362130487,0.08936328047398284,0.233591766558019,0.3262204361682149
2.932637,0.0041795189507853395,0.09325268636984406,0.24076348070478865,0.33819568602541805
2.9349380000000003,0.005128482236789345,0.09668826189505206,0.2464617390099968,0.3482784831418382
2.93724,0.006044104914422994,0.10051596278437708,0.2522709668027659,0.35883103450156595
2.939542,0.006864184356129654,0.10385101886345356,0.2584205673735249,0.3691357705931081
2.941843,0.0075807586255820765,0.10788971106545067,0.26458459895387715,0.3800550686449099
2.944145,0.008213732563598381,0.11130986033902464,0.2704435888486916,0.3899671817513146
2.946447,0.00881784448242841,0.11475638352668258,0.2761527948163497,0.3997270228254607
2.948748,0.009572735570455718,0.11827157841516305,0.28246511746079683,0.4103094314464156
2.95105,0.010677454235861536,0.1211523065025659,0.28834202171234763,0.4201717824507751
2.953351,0.012224060367429677,0.1239792915197598,0.2941398042216464,0.43034315610883583
