Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_CH3OH_10K,HNCO_NH3,all
2.85208,0.16718226358666055,0.0036383680570634008,0.0003518586392633329,0.17117249028298728
2.854382,0.1767059040893881,0.0039143649755210225,0.0003668313473170918,0.18098710041222624
2.8566830000000003,0.18538009295519906,0.0042198082198177025,0.0003818040553708506,0.18998170523038765
2.858985,0.195725735130078,0.0045671750466649095,0.0003967767634246095,0.20068968694016748
2.861286,0.2048540961401863,0.004953970004720345,0.00041174947147836833,0.210219815616385
2.863588,0.21492224412580216,0.005376200371836344,0.0004267221795321272,0.22072516667717065
2.8658900000000003,0.22522795907920445,0.0058298734258652365,0.00044169488758588604,0.2314995273926556
2.868191,0.23612609418126698,0.006309998264122438,0.00045666759563964493,0.2428927600410291
2.870493,0.2470436938037995,0.0068110848936549,0.0004716403036934037,0.25432641900114783
2.872795,0.25811251777767497,0.007325646960435746,0.0004866130117471626,0.2659247777498579
2.875096,0.2695801148760489,0.007843702659095803,0.0005015857198009215,0.2779254032549456
2.877398,0.2809069685187175,0.008357765635608189,0.0005165584278546803,0.2897812925821804
2.879699,0.2933238353076997,0.00887332588292595,0.0005315311359084391,0.30272869232653404
2.882001,0.3054512297409759,0.009400365206418263,0.0005460047536937394,0.3153975997010879
2.884303,0.317947451882643,0.009938883606085122,0.0005609774617474981,0.32844731295047563
2.886604,0.330053884524644,0.010475405644678148,0.0005754510795327984,0.3411047412488549
2.888906,0.3429952951857761,0.010993461343338206,0.0005904237875865572,0.3545791803167009
2.891208,0.3564203243170448,0.011487061618843787,0.0006048974053718575,0.3685122833412604
2.893509,0.3682552518530043,0.011959700103074108,0.0006198701134256165,0.380834822069504
2.895811,0.3817776035866224,0.012413373157103004,0.0006343437312109166,0.3948253204749363
2.898112,0.3952036308984279,0.012845585329588176,0.0006493164392646755,0.4086985326672808
2.900414,0.4083312022296953,0.013249848447039666,0.0006637900570499758,0.4222448407337849
2.902716,0.4212581392730422,0.013624166148383635,0.0006782636748352759,0.43556056909626106
2.905017,0.43494768624659386,0.013978021148720805,0.0006927372926205762,0.4496184446879353
2.907319,0.4475811582120872,0.014323391614494176,0.0007077100006743349,0.4626122598272557
2.909621,0.4612427561306051,0.0146632720873145,0.0007251781600703869,0.47663120637799
2.911922,0.4748784013551633,0.014985684400738775,0.0008075280543660605,0.4906716138102682
2.9142240000000004,0.4885514783498559,0.015278650388323987,0.0008973643026886136,0.5047274930408685
2.916525,0.5028299518401887,0.015531689154432513,0.000987200551011167,0.5193488415456324
2.918827,0.5170635072063605,0.01573282253262134,0.0010765377090652614,0.5338728674480471
2.921129,0.5316064985389763,0.015873066898058213,0.0011643775963139796,0.5486439430333485
2.92343,0.5484657678075088,0.015955416792353887,0.0012532156640996154,0.5656744002639623
2.925732,0.5636116601844229,0.015984863118192943,0.0013465455443013793,0.5809430688469172
2.928034,0.5806565910328221,0.01596639677825998,0.0014363817926239322,0.5980593696037059
2.930335,0.5954002166533583,0.015904010494702654,0.0015202289577249818,0.6128244561057861
2.932637,0.6088536939299289,0.015801696989668632,0.001651489698329601,0.6263068806179273
2.9349380000000003,0.6217027728913964,0.015666942617184803,0.001920000262760343,0.6392897157713415
2.93724,0.6340986778891035,0.01551122645342571,0.002171042667795033,0.6517809470103242
2.939542,0.6447632387455273,0.015345528484297447,0.002433065058735813,0.6625418322885607
2.941843,0.6540827513284554,0.015177834154095344,0.0026945883594081343,0.6719551738419589
2.944145,0.6653736704717949,0.01501513072657783,0.002955612569811997,0.6833444137681847
2.946447,0.674968680882912,0.01486041274335566,0.003206155884578228,0.6930352495108458
2.948748,0.6851461296373204,0.014701702037985816,0.0034776609906197226,0.7033254926659259
2.95105,0.6954997572564946,0.014527020444025294,0.003974754898004516,0.7140015325985244
2.953351,0.7033928698521679,0.01433586887120564,0.004495805138275325,0.7222245438616488
2.955653,0.7129584339374458,0.014149708201070569,0.004929514581565872,0.7320376567200823
2.957955,0.7189400308049225,0.013989001134626894,0.0052129978540503726,0.7381420297935998
2.960256,0.7244644609864911,0.01385574403294844,0.00551245201512555,0.7438326570345649
2.962558,0.7319787640684042,0.013737459639323744,0.0054575520855951005,0.7511737757933231
2.96486,0.7363502957298333,0.01362266887757826,0.00536721674700409,0.7553401813544157
2.967161,0.7418477750369051,0.013505881754758942,0.005262906880896236,0.7606165636725604
2.969463,0.7456208974664523,0.013382606458449658,0.005160593375862217,0.7641640973007642
2.971764,0.7528187773181626,0.013252842988650416,0.005069758947002747,0.7711413792538158
2.974066,0.7582773275842948,0.013124077699388087,0.004966946351700269,0.7763683516353831
2.976368,0.7641860572725764,0.013005294215494937,0.00486463284666625,0.7820559843347376
2.978669,0.7693701078910562,0.0128934979953602,0.004771802056732945,0.7870354079431494
2.980971,0.7764561915226318,0.012776211782272428,0.004671484912772761,0.793903888217677
2.983273,0.7844276612904529,0.012640958319520137,0.004569171407738742,0.8016377910177118
2.985574,0.7879098140934888,0.012485242155761044,0.004480832430221565,0.8048758886794715
2.987876,0.7965495657307762,0.01231006147153207,0.004377520744650629,0.8132371479469588
2.990177,0.8051853246459157,0.012118410808443955,0.004247757274851385,0.8215514927292111
2.992479,0.8102221436352002,0.011918275610792044,0.004094037472166128,0.8262344567181583
2.994781,0.8179191137553693,0.011717641322871676,0.003942314030554704,0.8335790691087956
2.997082,0.8262304639960107,0.011520001576562057,0.00379108967921174,0.8415415552517845
2.999384,0.8319076157997276,0.011317870017836316,0.003639865327868777,0.8468653511454327
