0.0972 0.3582 0.8034 0.0000
0.0848 0.5933 0.6132 0.0133
0.1024 0.5017 0.6672 0.0203
0.0801 0.5797 0.6600 0.0266
0.1232 0.4663 0.6783 0.0664
0.1121 0.4811 0.6636 0.0668
0.0530 0.5856 0.6341 0.0731
0.0704 0.6872 0.5210 0.0774
0.0705 0.5670 0.7094 0.0857
0.0757 0.5732 0.6935 0.0996
0.1498 0.3500 0.7325 0.1789
0.0982 0.5519 0.5898 0.1809
0.0817 0.5726 0.6935 0.1817
0.1128 0.6130 0.5173 0.1867
0.1365 0.4439 0.6513 0.1898
0.1253 0.5371 0.6379 0.2014
0.0429 0.7539 0.4725 0.2041
0.0680 0.4079 0.7680 0.2101
0.1355 0.4124 0.6771 0.2149
0.1516 0.4559 0.6298 0.2152
0.1023 0.6434 0.4919 0.2295
0.1621 0.3712 0.6979 0.2304
0.0929 0.5751 0.5660 0.2432
0.0862 0.5177 0.6299 0.2502
0.1075 0.6972 0.4322 0.2575
0.1321 0.6750 0.4597 0.2613
0.0815 0.6314 0.5243 0.2671
0.1639 0.4606 0.6196 0.2691
0.1252 0.5482 0.5481 0.2807
0.1329 0.5929 0.4983 0.2858
0.0792 0.7489 0.5099 0.2927
0.1421 0.5791 0.5012 0.3005
0.1652 0.5152 0.5719 0.3225
0.1578 0.5510 0.5129 0.3290
0.1843 0.3211 0.7167 0.3312
0.1619 0.5879 0.5006 0.3516
0.1350 0.6455 0.5129 0.3521
0.1514 0.5448 0.5149 0.3573
0.1538 0.4760 0.6667 0.3789
0.0595 0.6333 0.5428 0.3820
0.0986 0.3242 0.7909 0.3937
0.1270 0.7028 0.4728 0.3974
0.1697 0.5049 0.5325 0.4004
0.1799 0.5074 0.5316 0.4067
0.1791 0.4955 0.5354 0.4180
0.1197 0.6088 0.6009 0.4260
0.1306 0.6532 0.5259 0.4272
0.1512 0.5657 0.5789 0.4373
0.1944 0.4055 0.6164 0.4376
0.1900 0.5064 0.5233 0.4640
0.1716 0.4695 0.5525 0.4664
0.1617 0.4733 0.5565 0.4746
0.1745 0.6070 0.4729 0.4786
0.0881 0.4133 0.7100 0.4801
0.1894 0.4692 0.5932 0.4868
