w1,w2,w3,name,best_chi,index
0.2079793574663225,0.4893834971272412,0.4893834971272412,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,10.137,312
0.2079793574663225,0.4893834971272412,0.4893834971272412,H2O_CH3OH_CO_NH3_120K_NASA,10.137,313
0.2079793574663225,0.4893834971272412,0.4893834971272412,H2O_CH3OH_CO_NH3_100K_NASA,10.137,314
0.4558723675801774,0.4996793327421162,0.4996793327421162,H2O_CH4_10_0.6_a_V3,11.088,44
0.4558723675801774,0.4996793327421162,0.4996793327421162,H2O_CH3OH_CO_NH3_120K_NASA,11.088,45
0.4558723675801774,0.4996793327421162,0.4996793327421162,CH3OH,11.088,46
0.3635108234535323,0.4811514416286499,0.4811514416286499,H2O_CH4_10_0.6_a_V3,11.117,300
0.3635108234535323,0.4811514416286499,0.4811514416286499,H2O_CH3OH_CO_NH3_120K_NASA,11.117,301
0.3635108234535323,0.4811514416286499,0.4811514416286499,H2O_CH3OH_CO_NH3_100K_NASA,11.117,302
0.4933417402345123,0.4974990081473903,0.4974990081473903,H2O_CH4_10_0.6_a_V3,11.753,104
0.4933417402345123,0.4974990081473903,0.4974990081473903,CH3OH,11.753,105
0.4933417402345123,0.4974990081473903,0.4974990081473903,H2O_CH3OH_CO_NH3_100K_NASA,11.753,106
0.365426370998329,0.4908271859371555,0.3413536129964923,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,11.917,56
0.365426370998329,0.4908271859371555,0.3413536129964923,H2O_CH3OH_CO_NH3_120K_NASA,11.917,57
0.365426370998329,0.4908271859371555,0.3413536129964923,CH3OH,11.917,58
0.3624489645293285,0.3360630266226656,0.4985074733092309,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,12.022,116
0.3624489645293285,0.3360630266226656,0.4985074733092309,CH3OH,12.022,117
0.3624489645293285,0.3360630266226656,0.4985074733092309,H2O_CH3OH_CO_NH3_100K_NASA,12.022,118
0.4848353160251875,0.4615671288733638,0.4848353160251875,H2O_CH3OH_CO_NH3_120K_NASA,12.072,40
0.4848353160251875,0.4615671288733638,0.4848353160251875,CH3OH,12.072,41
0.4848353160251875,0.4615671288733638,0.4848353160251875,H2O_CH3OH_CO_NH3_100K_NASA,12.072,42
0.4839116555167474,0.4839116555167474,0.4839116555167474,H2O_40K,12.505,308
0.4839116555167474,0.4839116555167474,0.4839116555167474,H2O_CH3OH_CO_NH3_120K_NASA,12.505,309
0.4839116555167474,0.4839116555167474,0.4839116555167474,H2O_CH3OH_CO_NH3_100K_NASA,12.505,310
0.4784747653091311,0.4784747653091311,0.4784747653091311,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.511,332
0.4784747653091311,0.4784747653091311,0.4784747653091311,H2O_CH3OH_CO_NH3_120K_NASA,13.511,333
0.4784747653091311,0.4784747653091311,0.4784747653091311,CO_CH3OH_10K,13.511,334
0.4631984482935471,0.2767250704081203,0.4977363068055513,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.523,168
0.4631984482935471,0.2767250704081203,0.4977363068055513,CO_NH3_10K,13.523,169
0.4631984482935471,0.2767250704081203,0.4977363068055513,H2O_CH3OH_CO_NH3_120K_NASA,13.523,170
0.4804565222635346,0.4804565222635346,0.4804565222635346,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.577,456
0.4804565222635346,0.4804565222635346,0.4804565222635346,CO_CH3OH_10K,13.577,457
0.4804565222635346,0.4804565222635346,0.4804565222635346,H2O_CH3OH_CO_NH3_100K_NASA,13.577,458
0.4659471919015543,0.4936199096308753,0.040688256851243776,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.58,276
0.4659471919015543,0.4936199096308753,0.040688256851243776,H2O_CH3OH_CO_NH3_120K_NASA,13.58,277
0.4659471919015543,0.4936199096308753,0.040688256851243776,HNCO_NH3,13.58,278
0.4857459628913297,0.014619526809608928,0.4992164690596601,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.611,372
0.4857459628913297,0.014619526809608928,0.4992164690596601,HNCO_NH3,13.611,373
0.4857459628913297,0.014619526809608928,0.4992164690596601,H2O_CH3OH_CO_NH3_100K_NASA,13.611,374
0.4570878128770006,0.10641247152251296,0.4994242549079564,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.611,460
0.4570878128770006,0.10641247152251296,0.4994242549079564,H2O_40K,13.611,461
0.4570878128770006,0.10641247152251296,0.4994242549079564,H2O_CH3OH_CO_NH3_100K_NASA,13.611,462
0.4842758685391672,0.08385999416309353,0.4943341160490938,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.642,228
0.4842758685391672,0.08385999416309353,0.4943341160490938,CO_NH3_10K,13.642,229
0.4842758685391672,0.08385999416309353,0.4943341160490938,H2O_CH3OH_CO_NH3_100K_NASA,13.642,230
0.4529235717750733,0.033790730997317116,0.4819815885815333,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.655,324
0.4529235717750733,0.033790730997317116,0.4819815885815333,H2O_CH4_10_0.6_a_V3,13.655,325
0.4529235717750733,0.033790730997317116,0.4819815885815333,H2O_CH3OH_CO_NH3_120K_NASA,13.655,326
0.4678969085311725,0.039251070432383836,0.4911629277117267,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.691,448
0.4678969085311725,0.039251070432383836,0.4911629277117267,H2O_CH4_10_0.6_a_V3,13.691,449
0.4678969085311725,0.039251070432383836,0.4911629277117267,H2O_CH3OH_CO_NH3_100K_NASA,13.691,450
0.4734340224982368,0.015775289562319942,0.4810709380392585,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.714,296
0.4734340224982368,0.015775289562319942,0.4810709380392585,d_NH3_CH3OH_50_10K_I10m_Baselined,13.714,297
0.4734340224982368,0.015775289562319942,0.4810709380392585,H2O_CH3OH_CO_NH3_120K_NASA,13.714,298
0.4822782205671498,0.0320818412611566,0.4822782205671498,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.815,412
0.4822782205671498,0.0320818412611566,0.4822782205671498,d_NH3_CH3OH_50_10K_I10m_Baselined,13.815,413
0.4822782205671498,0.0320818412611566,0.4822782205671498,H2O_CH3OH_CO_NH3_100K_NASA,13.815,414
0.4166868358472208,0.03502988092229198,0.4964811787260207,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,13.879,336
0.4166868358472208,0.03502988092229198,0.4964811787260207,H2O_40K,13.879,337
0.4166868358472208,0.03502988092229198,0.4964811787260207,H2O_CH3OH_CO_NH3_120K_NASA,13.879,338
0.4906844646002993,0.3839367009428924,0.4906844646002993,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,15.273,140
0.4906844646002993,0.3839367009428924,0.4906844646002993,H2O_40K,15.273,141
0.4906844646002993,0.3839367009428924,0.4906844646002993,CH3OH,15.273,142
0.4919463595741694,0.15565734760220296,0.4919463595741694,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,15.44,128
0.4919463595741694,0.15565734760220296,0.4919463595741694,H2O_CH4_10_0.6_a_V3,15.44,129
0.4919463595741694,0.15565734760220296,0.4919463595741694,CH3OH,15.44,130
