Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH3OH_CO_NH3_120K_NASA,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.0325594728,0.0402308748,0.11822914739999997,0.191019495
2.854382,0.0344142432,0.042805616399999996,0.12640936619999998,0.20362922579999998
2.8566830000000003,0.0361035792,0.0455805918,0.13479364859999998,0.2164778196
2.858985,0.038118438,0.0485858898,0.1430517972,0.229756125
2.861286,0.039896226,0.051352626600000006,0.152625915,0.2438747676
2.863588,0.041857041599999985,0.05428413540000001,0.1606261722,0.2567673492
2.8658900000000003,0.0438641244,0.05731701480000001,0.16857661859999998,0.2697577578
2.868191,0.045986583600000006,0.0603291186,0.17652786840000004,0.28284357060000004
2.870493,0.0481128336,0.06336163980000001,0.18488563859999999,0.296360112
2.872795,0.0502685352,0.06650484480000002,0.19187923559999998,0.3086526156
2.875096,0.0525018996,0.0693396396,0.1999188594,0.3217603986
2.877398,0.0547078536,0.07227616320000001,0.2069630706,0.3339470874
2.879699,0.0571260924,0.0751976424,0.2142129522,0.346536687
2.882001,0.0594879552,0.07810622639999999,0.2211334398,0.35872762140000003
2.884303,0.0619216488,0.0811344492,0.227607237,0.370663335
2.886604,0.0642794292,0.083996109,0.2343308916,0.3826064298
2.888906,0.0667998252,0.08708450940000001,0.2412979764,0.395182311
2.891208,0.069414408,0.08964456479999999,0.2476930404,0.4067520132
2.893509,0.07171931159999999,0.09281069460000002,0.2539884828,0.4185184890000001
2.895811,0.0743528484,0.0961423128,0.26031204420000004,0.4308072054
2.898112,0.07696762559999999,0.09922032539999999,0.2678222274,0.4440101784
2.900414,0.07952427720000001,0.1022815026,0.2741955996,0.45600137939999996
2.902716,0.0820418544,0.1055056608,0.281692125,0.4692396402
2.905017,0.08470795319999999,0.10902963240000002,0.2883113376,0.4820489232
2.907319,0.0871683768,0.1120947498,0.2954246412,0.4946877678
2.909621,0.08982903240000001,0.11552164919999999,0.3026070372,0.5079577188000001
2.911922,0.0924846336,0.1190789334,0.3103108398,0.5218744068000001
2.9142240000000004,0.09514752480000001,0.12265162020000002,0.3181761258,0.5359752708000001
2.916525,0.09792831960000001,0.12647433060000002,0.3267218916,0.5511245417999999
2.918827,0.1007003664,0.1303246224,0.33494951100000003,0.5659744997999999
2.921129,0.1035326772,0.1341014832,0.3429176322,0.5805517926
2.92343,0.10681609319999998,0.1380012066,0.35124326640000003,0.5960605661999999
2.925732,0.10976582160000001,0.14199119640000002,0.36015698939999996,0.6119140074
2.928034,0.113085396,0.1464328764,0.36970700520000005,0.6292252776
2.930335,0.1159567812,0.15011015760000002,0.3771296178,0.6431965566
2.932637,0.1185769044,0.15569951040000002,0.3887082186,0.6629846334
2.9349380000000003,0.12107931839999997,0.1601390412,0.397907952,0.6791263115999999
2.93724,0.1234934748,0.164548125,0.4072868436,0.6953284434
2.939542,0.12557044439999998,0.16962453540000005,0.4172152608,0.7124102405999999
2.941843,0.12738546,0.1743868044,0.42716697659999997,0.7289392410000001
2.944145,0.12958441559999995,0.17909856719999998,0.4366262082,0.7453091909999999
2.946447,0.1314530856,0.1835821566,0.4458436164,0.7608788586
2.948748,0.13343518799999998,0.187845453,0.4560347454,0.7773153864
2.95105,0.13545160199999998,0.1929010878,0.4655228994,0.7938755892
2.953351,0.13698882,0.1972073682,0.4748833128000001,0.8090795009999999
2.955653,0.13885175519999998,0.2002413222,0.481308906,0.8204019834
2.957955,0.14001669719999998,0.2058210036,0.49205357759999996,0.8378912784
2.960256,0.14109260399999998,0.20939297399999998,0.5005045422,0.8509901202
2.962558,0.14255604719999998,0.2130075702,0.5063958744,0.8619594918000001
2.96486,0.14340742199999998,0.21820684320000006,0.5169533538000001,0.878567619
2.967161,0.14447807999999998,0.22195898820000004,0.5258003945999999,0.8922374627999999
2.969463,0.145212912,0.22633511760000002,0.5337331662,0.9052811958
2.971764,0.14661473039999998,0.22999090680000006,0.542226711,0.9188323481999999
2.974066,0.1476778068,0.23364311399999999,0.5508295182,0.932150439
2.976368,0.1488285576,0.23737627440000006,0.5576503842,0.9438552162
2.978669,0.14983817400000002,0.2411058528,0.5648761637999999,0.9558201906
2.980971,0.1512182196,0.244808208,0.5737529304,0.9697793579999999
2.983273,0.15277069799999998,0.24867640980000005,0.5809521978,0.9823993056
2.985574,0.1534488624,0.2524389426,0.5890520765999999,0.9949398816
2.987876,0.1551314916,0.25588625940000004,0.5967277602000001,1.0077455112
2.990177,0.15681334319999998,0.2596692096,0.6043439922,1.020826545
2.992479,0.15779428559999994,0.2635395606,0.6117433062,1.0330771524
2.994781,0.159293304,0.266946759,0.6192832152000001,1.0455232782
2.997082,0.16091197559999998,0.27049687920000004,0.6268207140000001,1.0582295687999999
2.999384,0.1620176256,0.27359136900000003,0.6327481992,1.0683571938
3.001686,0.1635217956,0.27759031380000004,0.640904316,1.0820164254
3.003987,0.16506367919999998,0.2814058602,0.6492187026,1.095688242
3.006289,0.1663827804,0.2848979520000001,0.6555053076,1.10678604
3.0085900000000003,0.16786896839999998,0.28846562400000003,0.6625246134,1.1188592058000002
3.010892,0.16946411760000002,0.2915239356,0.6689100365999999,1.1298980898000002
3.013194,0.17089081920000002,0.2953301688,0.6756553829999999,1.141876371
3.015495,0.1726935876,0.29840065920000003,0.6822689718000001,1.1533632186
3.0177970000000003,0.17416101599999995,0.3014614782,0.6877658346000001,1.1633883288
3.020098,0.1756684908,0.3049191828,0.6941809836000001,1.1747686572
3.0224,0.1772119296,0.3082833972,0.6991226970000001,1.1846180238
3.024702,0.1782466236,0.3112091748,0.7041375198000001,1.1935933182
3.027003,0.1789897176,0.3142119654,0.7100400995999999,1.2032417826
3.029305,0.1805887548,0.31695076260000005,0.7139743493999999,1.2115138668
